state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2022 - 2023,18.0,8.0,0.44,,,,,,
,Golaghat,2000 - 2001,9.0,4.0,0.44,,,,,,
,,2001 - 2002,9.0,5.0,0.56,,,,,,
,,2002 - 2003,8.0,5.0,0.63,,,,,,
,,2003 - 2004,9.0,5.0,0.56,,,,,,
,,2004 - 2005,8.0,5.0,0.63,,,,,,
,,2005 - 2006,10.0,6.0,0.6,,,,,,
,,2006 - 2007,10.0,6.0,0.6,,,,,,
,,2007 - 2008,10.0,5.0,0.5,,,,,,
,,2008 - 2009,12.0,5.0,0.42,,,,,,
,,2009 - 2010,26.0,14.0,0.54,,,,,,
,,2010 - 2011,28.0,15.0,0.54,,,,,,
,,2011 - 2012,43.0,26.0,0.6,,,,,,
,,2012 - 2013,36.0,23.0,0.64,,,,,,
,,2013 - 2014,34.0,23.0,0.68,,,,,,
,,2014 - 2015,40.0,28.0,0.7,,,,,,
,,2015 - 2016,30.0,20.0,0.67,,,,,,
,,2016 - 2017,31.0,19.0,0.61,,,,,,
,,2017 - 2018,29.0,19.0,0.66,,,,,,
,,2018 - 2019,28.0,19.0,0.68,,,,,,
,,2019 - 2020,28.0,19.0,0.68,,,,,,
,,2020 - 2021,23.0,15.0,0.65,,,,,,
,,2021 - 2022,24.0,16.0,0.67,,,,,,
,,2022 - 2023,27.0,18.0,0.67,,,,,,
,Hailakandi,2000 - 2001,5.0,2.0,0.4,,,,,,
,,2001 - 2002,5.0,2.0,0.4,,,,,,
,,2002 - 2003,5.0,2.0,0.4,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,
,,2004 - 2005,5.0,2.0,0.4,,,,,,
,,2005 - 2006,5.0,2.0,0.4,,,,,,
,,2006 - 2007,5.0,2.0,0.4,,,,,,
,,2007 - 2008,5.0,2.0,0.4,,,,,,
,,2008 - 2009,5.0,2.0,0.4,,,,,,
