state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2009 - 2010,,,,,,,17.0,2.0,0.12,,,,,,,,,
,,2010 - 2011,,,,,,,18.0,9.0,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,18.0,9.0,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,17.0,9.0,0.53,,,,,,,,,
,,2013 - 2014,,,,,,,17.0,9.0,0.53,,,,,,,,,
,,2014 - 2015,,,,,,,17.0,8.0,0.47,,,,,,,,,
,,2015 - 2016,,,,,,,7.0,2.0,0.29,,,,,,,,,
,,2016 - 2017,,,,,,,17.0,8.0,0.47,,,,,,,,,
,,2017 - 2018,,,,,,,7.0,3.0,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,29.0,12.0,0.41,,,,,,,,,
,,2019 - 2020,,,,,,,35.0,17.0,0.49,,,,,,,,,
,,2020 - 2021,,,,,,,4.0,1.0,0.25,,,,,,,,,
,Solan,2000 - 2001,,,,,,,321.0,71.0,0.22,,,,,,,,,
,,2001 - 2002,,,,,,,386.0,110.0,0.28,,,,,,,,,
,,2002 - 2003,,,,,,,393.0,34.0,0.09,,,,,,,,,
,,2005 - 2006,,,,,,,307.0,84.0,0.27,,,,,,,,,
,,2006 - 2007,,,,,,,304.0,92.0,0.3,,,,,,,,,
,,2007 - 2008,,,,,,,223.0,68.0,0.3,,,,,,,,,
,,2008 - 2009,,,,,,,169.0,50.0,0.3,,,,,,,,,
,,2009 - 2010,,,,,,,111.0,9.0,0.08,,,,,,,,,
,,2010 - 2011,,,,,,,116.0,35.0,0.3,,,,,,,,,
,,2011 - 2012,,,,,,,115.0,34.0,0.3,,,,,,,,,
,,2012 - 2013,,,,,,,113.0,64.0,0.57,,,,,,,,,
,,2013 - 2014,,,,,,,112.0,34.0,0.3,,,,,,,,,
,,2014 - 2015,,,,,,,111.0,33.0,0.3,,,,,,,,,
,,2015 - 2016,,,,,,,21.0,7.0,0.33,,,,,,,,,
,,2016 - 2017,,,,,,,109.0,33.0,0.3,,,,,,,,,
,,2017 - 2018,,,,,,,21.0,9.0,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,21.0,9.0,0.43,,,,,,,,,
,,2019 - 2020,,,,,,,26.0,11.0,0.42,,,,,,,,,
,,2020 - 2021,,,,,,,49.0,26.0,0.53,,,,,,,,,
,,2021 - 2022,,,,,,,52.0,27.0,0.52,,,,,,,,,
,,2022 - 2023,,,,,,,50.0,26.0,0.52,,,,,,,,,
,Una,2000 - 2001,,,,,,,615.0,116.0,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,603.0,171.0,0.28,,,,,,,,,
,,2002 - 2003,,,,,,,511.0,161.0,0.32,,,,,,,,,
,,2005 - 2006,,,,,,,441.0,153.0,0.35,,,,,,,,,
,,2006 - 2007,,,,,,,443.0,146.0,0.33,,,,,,,,,
,,2007 - 2008,,,,,,,413.0,135.0,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,286.0,88.0,0.31,,,,,,,,,
,,2009 - 2010,,,,,,,172.0,11.0,0.06,,,,,,,,,
,,2010 - 2011,,,,,,,179.0,42.0,0.23,,,,,,,,,
,,2011 - 2012,,,,,,,178.0,41.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,176.0,41.0,0.23,,,,,,,,,
,,2013 - 2014,,,,,,,174.0,40.0,0.23,,,,,,,,,
,,2014 - 2015,,,,,,,172.0,40.0,0.23,,,,,,,,,
,,2015 - 2016,,,,,,,30.0,8.0,0.27,,,,,,,,,
,,2016 - 2017,,,,,,,168.0,39.0,0.23,,,,,,,,,
,,2017 - 2018,,,,,,,30.0,11.0,0.37,,,,,,,,,
,,2018 - 2019,,,,,,,83.0,36.0,0.43,,,,,,,,,
,,2019 - 2020,,,,,,,88.0,40.0,0.45,,,,,,,,,
,,2020 - 2021,,,,,,,124.0,30.0,0.24,,,,,,,,,
,,2021 - 2022,,,,,,,129.0,31.0,0.24,,,,,,,,,
,,2022 - 2023,,,,,,,111.0,26.0,0.23,,,,,,,,,
Jammu and Kashmir,Doda,2000 - 2001,,,,,,,36.0,13.0,0.36,,,,,,,,,
,,2001 - 2002,,,,,,,21.0,8.0,0.38,,,,,,,,,
,,2003 - 2004,,,,,,,26.0,9.0,0.35,,,,,,,,,
,Ganderbal,2016 - 2017,,,,,,,,798.5,0.5,,,,,,,,,
,Jammu,2000 - 2001,,,,,,,,928.0,0.45,,,,,,,,,
,,2001 - 2002,,,,,,,,944.0,0.45,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.45,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.58,,,,,,,,,
,,2005 - 2006,,,,,,,,917.5,0.45,,,,,,,,,
,,2006 - 2007,,,,,,,,906.7,0.45,,,,,,,,,
,,2007 - 2008,,,,,,,868.0,388.8,0.45,,,,,,,,,
,,2009 - 2010,,,,,,,695.0,311.4,0.45,,,,,,,,,
,,2010 - 2011,,,,,,,741.0,332.0,0.45,,,,,,,,,
,,2011 - 2012,,,,,,,865.0,387.6,0.45,,,,,,,,,
,,2012 - 2013,,,,,,,813.0,364.3,0.45,,,,,,,,,
,,2014 - 2015,,,,,,,825.0,370.1,0.45,,,,,,,,,
,,2015 - 2016,,,,,,,,969.7,0.44,,,,,,,,,
,,2016 - 2017,,,,,,,465.0,190.6,0.41,,,,,,,,,
,,2017 - 2018,,,,,,,439.0,180.1,0.41,,,,,,,,,
,,2018 - 2019,,,,,,,487.0,199.8,0.41,,,,,,,,,
,,2020 - 2021,,,,,,,352.0,153.7,0.44,,,,,,,,,
,,2021 - 2022,,,,149.0,67.55,0.45,,,,,,,,,,,,
,,2022 - 2023,,,,21.0,9.51,0.45,,,,,,,,,,,,
,Kathua,2000 - 2001,,,,,,,,,0.4,,,,,,,,,
,,2001 - 2002,,,,,,,,,0.4,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.4,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.4,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.4,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.4,,,,,,,,,
,,2009 - 2010,,,,,,,,554.4,0.4,,,,,,,,,
,,2010 - 2011,,,,,,,980.0,394.0,0.4,,,,,,,,,
,,2011 - 2012,,,,,,,954.0,383.6,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,,585.1,0.4,,,,,,,,,
,,2014 - 2015,,,,,,,,646.2,0.4,,,,,,,,,
,,2015 - 2016,,,,,,,415.0,114.5,0.28,,,,,,,,,
,,2016 - 2017,,,,,,,,431.0,0.4,,,,,,,,,
,,2017 - 2018,,,,,,,,620.1,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,,651.5,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,,485.8,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,,440.0,0.4,,,,,,,,,
,Leh ladakh,2015 - 2016,,,,,,,1.0,0.5,0.5,,,,,,,,,
,Rajauri,2000 - 2001,,,,,,,140.0,51.0,0.36,,,,,,,,,
,,2001 - 2002,,,,,,,112.0,41.0,0.37,,,,,,,,,
,,2002 - 2003,,,,,,,111.0,40.0,0.36,,,,,,,,,
,,2003 - 2004,,,,,,,106.0,38.0,0.36,,,,,,,,,
,,2005 - 2006,,,,,,,190.0,68.4,0.36,,,,,,,,,
,,2006 - 2007,,,,,,,91.0,32.8,0.36,,,,,,,,,
,,2007 - 2008,,,,,,,123.0,44.3,0.36,,,,,,,,,
,,2009 - 2010,,,,,,,18.0,6.5,0.36,,,,,,,,,
,,2010 - 2011,,,,,,,126.0,45.9,0.36,,,,,,,,,
,,2011 - 2012,,,,,,,100.0,36.5,0.37,,,,,,,,,
,,2012 - 2013,,,,,,,86.0,31.4,0.37,,,,,,,,,
,,2016 - 2017,,,,,,,28.0,14.0,0.5,,,,,,,,,
,,2017 - 2018,,,,,,,69.0,34.7,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,107.0,53.8,0.5,,,,,,,,,
,,2019 - 2020,,,,,,,86.0,43.2,0.5,,,,,,,,,
,Reasi,2007 - 2008,,,,,,,100.0,50.0,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,56.0,28.1,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,22.0,11.0,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,15.0,7.5,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,17.0,8.5,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,2.0,1.0,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,46.0,23.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,32.0,16.0,0.5,,,,,,,,,
,,2017 - 2018,,,,,,,23.0,11.6,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,10.0,5.0,0.5,,,,,,,,,
,Samba,2007 - 2008,,,,,,,,905.8,0.45,,,,,,,,,
,,2009 - 2010,,,,,,,,929.6,0.45,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.45,,,,,,,,,
,,2011 - 2012,,,,,,,,935.9,0.45,,,,,,,,,
,,2012 - 2013,,,,,,,,932.8,0.45,,,,,,,,,
,,2014 - 2015,,,,,,,,462.8,0.44,,,,,,,,,
,,2015 - 2016,,,,,,,,423.8,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,,926.9,0.44,,,,,,,,,
,,2017 - 2018,,,,,,,,796.6,0.44,,,,,,,,,
,,2018 - 2019,,,,,,,,787.9,0.44,,,,,,,,,
,,2019 - 2020,,,,,,,,918.1,0.44,,,,,,,,,
,,2020 - 2021,,,,,,,948.0,414.1,0.44,,,,,,,,,
,Udhampur,2000 - 2001,,,,,,,430.0,215.0,0.5,,,,,,,,,
,,2001 - 2002,,,,,,,401.0,501.0,1.25,,,,,,,,,
,,2002 - 2003,,,,,,,408.0,204.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,361.0,180.0,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,385.0,192.5,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,327.0,163.5,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,196.0,98.0,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,401.0,200.5,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,404.0,202.0,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,323.0,161.5,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,335.0,167.5,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,310.0,85.5,0.28,,,,,,,,,
,,2015 - 2016,,,,,,,2.0,1.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,430.0,118.6,0.28,,,,,,,,,
,,2017 - 2018,,,,,,,429.0,118.4,0.28,,,,,,,,,
,,2018 - 2019,,,,,,,394.0,108.7,0.28,,,,,,,,,
,,2019 - 2020,,,,,,,429.0,118.4,0.28,,,,,,,,,
,,2020 - 2021,,,,,,,357.0,98.5,0.28,,,,,,,,,
Jharkhand,Bokaro,2017 - 2018,,,,,,,100.0,42.0,0.42,,,,,,,,,
,,2018 - 2019,,,,,,,100.0,42.0,0.42,,,,,,,,,
,,2019 - 2020,,,,,,,7.0,4.0,0.57,,,,,,,,,
,,2021 - 2022,,,,,,,65.0,23.0,0.35,,,,,,,,,
,Chatra,2017 - 2018,,,,,,,326.0,117.0,0.36,,,,,,,,,
,,2018 - 2019,,,,,,,400.0,144.0,0.36,,,,,,,,,
,,2019 - 2020,,,,,,,386.0,147.0,0.38,,,,,,,,,
,,2020 - 2021,,,,,,,320.0,125.0,0.39,,,,,,,,,
,,2021 - 2022,,,,,,,318.0,127.0,0.4,,,,,,,,,
,Deoghar,2017 - 2018,,,,,,,29.0,10.0,0.34,,,,,,,,,
,,2018 - 2019,,,,,,,9.0,3.0,0.33,,,,,,,,,
,,2019 - 2020,,,,,,,47.0,16.0,0.34,,,,,,,,,
,,2020 - 2021,,,,,,,51.0,18.0,0.35,,,,,,,,,
,,2021 - 2022,,,,,,,20.0,12.0,0.6,,,,,,,,,
,,2022 - 2023,,,,,,,19.0,11.0,0.58,,,,,,,,,
,Dhanbad,2017 - 2018,,,,,,,142.0,62.0,0.44,,,,,,,,,
,,2018 - 2019,,,,,,,56.0,25.0,0.45,,,,,,,,,
,,2019 - 2020,,,,,,,53.0,21.0,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,62.0,25.0,0.4,,,,,,,,,
,,2021 - 2022,,,,,,,59.0,24.0,0.41,,,,,,,,,
,Dumka,2017 - 2018,,,,,,,,,0.52,,,,,,,,,
,,2018 - 2019,,,,,,,,,0.56,,,,,,,,,
,,2019 - 2020,,,,,,,958.0,599.0,0.63,,,,,,,,,
,,2020 - 2021,,,,,,,848.0,509.0,0.6,,,,,,,,,
,,2021 - 2022,,,,,,,610.0,366.0,0.6,,,,,,,,,
,,2022 - 2023,,,,,,,6.0,4.0,0.67,,,,,,,,,
,East singhbum,2017 - 2018,,,,,,,373.0,179.0,0.48,,,,,,,,,
,,2018 - 2019,,,,,,,372.0,112.0,0.3,,,,,,,,,
,,2019 - 2020,,,,,,,250.0,75.0,0.3,,,,,,,,,
,,2020 - 2021,,,,,,,148.0,52.0,0.35,,,,,,,,,
,,2021 - 2022,,,,,,,154.0,55.0,0.36,,,,,,,,,
,,2022 - 2023,,,,,,,98.0,35.0,0.36,,,,,,,,,
,Garhwa,2017 - 2018,,,,,,,,570.0,0.21,,,,,,,,,
,,2018 - 2019,,,,,,,,389.0,0.25,,,,,,,,,
,,2019 - 2020,,,,,,,,392.0,0.25,,,,,,,,,
,,2020 - 2021,,,,,,,,378.0,0.28,,,,,,,,,
,,2021 - 2022,,,,,,,,457.0,0.4,,,,,,,,,
,,2022 - 2023,,,,,,,,392.0,0.35,,,,,,,,,
,Giridih,2017 - 2018,,,,,,,21.0,13.0,0.62,,,,,,,,,
,,2018 - 2019,,,,,,,5.0,3.0,0.6,,,,,,,,,
,,2019 - 2020,,,,,,,52.0,33.0,0.63,,,,,,,,,
,,2020 - 2021,,,,,,,67.0,30.0,0.45,,,,,,,,,
,,2021 - 2022,,,,,,,68.0,43.0,0.63,,,,,,,,,
,,2022 - 2023,,,,,,,635.0,406.0,0.64,,,,,,,,,
,Godda,2017 - 2018,,,,,,,399.0,160.0,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,323.0,131.0,0.41,,,,,,,,,
,,2019 - 2020,,,,,,,233.0,89.0,0.38,,,,,,,,,
,,2020 - 2021,,,,,,,55.0,22.0,0.4,,,,,,,,,
,,2021 - 2022,,,,,,,185.0,77.0,0.42,,,,,,,,,
,Gumla,2019 - 2020,,,,,,,68.0,32.0,0.47,,,,,,,,,
,,2020 - 2021,,,,,,,95.0,44.0,0.46,,,,,,,,,
,,2021 - 2022,,,,,,,96.0,20.0,0.21,,,,,,,,,
,,2022 - 2023,,,,,,,26.0,5.0,0.19,,,,,,,,,
,Hazaribagh,2017 - 2018,,,,,,,130.0,57.0,0.44,,,,,,,,,
,,2018 - 2019,,,,,,,283.0,125.0,0.44,,,,,,,,,
,,2020 - 2021,,,,,,,27.0,12.0,0.44,,,,,,,,,
,,2021 - 2022,,,,,,,79.0,32.0,0.41,,,,,,,,,
,,2022 - 2023,,,,,,,25.0,10.0,0.4,,,,,,,,,
,Jamtara,2018 - 2019,,,,,,,47.0,19.0,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,55.0,17.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,53.0,32.0,0.6,,,,,,,,,
,,2022 - 2023,,,,,,,6.0,4.0,0.67,,,,,,,,,
,Khunti,2017 - 2018,,,,,,,73.0,22.0,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,262.0,105.0,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,204.0,71.0,0.35,,,,,,,,,
,,2021 - 2022,,,,,,,153.0,54.0,0.35,,,,,,,,,
,,2022 - 2023,,,,,,,158.0,55.0,0.35,,,,,,,,,
,Koderma,2017 - 2018,,,,,,,270.0,108.0,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,184.0,74.0,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,151.0,60.0,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,166.0,66.0,0.4,,,,,,,,,
,,2021 - 2022,,,,,,,96.0,48.0,0.5,,,,,,,,,
,,2022 - 2023,,,,,,,166.0,83.0,0.5,,,,,,,,,
,Latehar,2017 - 2018,,,,,,,597.0,133.0,0.22,,,,,,,,,
,,2018 - 2019,,,,,,,621.0,137.0,0.22,,,,,,,,,
,,2019 - 2020,,,,,,,511.0,113.0,0.22,,,,,,,,,
,,2020 - 2021,,,,,,,647.0,146.0,0.23,,,,,,,,,
,,2021 - 2022,,,,,,,742.0,164.0,0.22,,,,,,,,,
,,2022 - 2023,,,,,,,455.0,101.0,0.22,,,,,,,,,
,Lohardaga,2020 - 2021,,,,,,,33.0,10.0,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,12.0,4.0,0.33,,,,,,,,,
,,2022 - 2023,,,,,,,2.0,1.0,0.5,,,,,,,,,
,Pakur,2017 - 2018,,,,,,,573.0,178.0,0.31,,,,,,,,,
,,2018 - 2019,,,,,,,408.0,86.0,0.21,,,,,,,,,
,,2019 - 2020,,,,,,,418.0,130.0,0.31,,,,,,,,,
,,2020 - 2021,,,,,,,544.0,169.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,123.0,38.0,0.31,,,,,,,,,
,Palamu,2017 - 2018,,,,,,,,,0.45,,,,,,,,,
,,2018 - 2019,,,,,,,,,0.3,,,,,,,,,
,,2019 - 2020,,,,,,,522.0,235.0,0.45,,,,,,,,,
,,2020 - 2021,,,,,,,537.0,269.0,0.5,,,,,,,,,
,,2021 - 2022,,,,,,,499.0,262.0,0.53,,,,,,,,,
,,2022 - 2023,,,,,,,298.0,159.0,0.53,,,,,,,,,
,Ramgarh,2017 - 2018,,,,,,,78.0,34.0,0.44,,,,,,,,,
,,2018 - 2019,,,,,,,307.0,135.0,0.44,,,,,,,,,
,,2020 - 2021,,,,,,,16.0,7.0,0.44,,,,,,,,,
,,2021 - 2022,,,,,,,45.0,23.0,0.51,,,,,,,,,
,,2022 - 2023,,,,,,,11.0,6.0,0.55,,,,,,,,,
,Ranchi,2017 - 2018,,,,,,,212.0,85.0,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,221.0,88.0,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,237.0,107.0,0.45,,,,,,,,,
,,2020 - 2021,,,,,,,245.0,110.0,0.45,,,,,,,,,
,,2021 - 2022,,,,,,,254.0,114.0,0.45,,,,,,,,,
,,2022 - 2023,,,,,,,254.0,114.0,0.45,,,,,,,,,
,Sahebganj,2017 - 2018,,,,,,,244.0,88.0,0.36,,,,,,,,,
,,2018 - 2019,,,,,,,44.0,16.0,0.36,,,,,,,,,
,,2020 - 2021,,,,,,,35.0,29.0,0.83,,,,,,,,,
,Saraikela kharsawan,2017 - 2018,,,,,,,456.0,228.0,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,96.0,38.0,0.4,,,,,,,,,
,,2019 - 2020,,,,,,,48.0,19.0,0.4,,,,,,,,,
,,2020 - 2021,,,,,,,37.0,15.0,0.41,,,,,,,,,
,,2021 - 2022,,,,,,,86.0,34.0,0.4,,,,,,,,,
,,2022 - 2023,,,,,,,73.0,29.0,0.4,,,,,,,,,
,Simdega,2017 - 2018,,,,,,,600.0,420.0,0.7,,,,,,,,,
,,2018 - 2019,,,,,,,600.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,,,,157.0,98.0,0.62,,,,,,,,,
,,2020 - 2021,,,,,,,133.0,83.0,0.62,,,,,,,,,
,,2021 - 2022,,,,,,,135.0,88.0,0.65,,,,,,,,,
,,2022 - 2023,,,,,,,254.0,165.0,0.65,,,,,,,,,
,West singhbhum,2017 - 2018,,,,,,,,559.0,0.49,,,,,,,,,
,,2018 - 2019,,,,,,,,760.0,0.42,,,,,,,,,
,,2019 - 2020,,,,,,,91.0,37.0,0.41,,,,,,,,,
,,2020 - 2021,,,,,,,17.0,7.0,0.41,,,,,,,,,
,,2021 - 2022,,,,,,,185.0,76.0,0.41,,,,,,,,,
,,2022 - 2023,,,,,,,163.0,68.0,0.42,,,,,,,,,
Karnataka,Bagalkot,2000 - 2001,,,,,,,,969.0,0.49,,,,,,,,,
,,2001 - 2002,,,,,,,897.0,581.0,0.65,,,,,,,,,
,,2002 - 2003,,,,,,,,796.0,0.65,,,,,,,,,
,,2003 - 2004,,,,,,,536.0,236.0,0.44,,,,,,,,,
,,2004 - 2005,,,,,,,948.0,581.0,0.61,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.49,,,,,,,,,
,,2006 - 2007,,,,,,,,283.0,0.2,,,,,,,,,
,,2007 - 2008,,,,,,,,702.0,0.52,,,,,,,,,
,,2008 - 2009,,,,,,,,280.0,0.2,,,,,,,,,
,,2009 - 2010,,,,,,,,801.0,0.34,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.67,,,,,,,,,
,,2011 - 2012,,,,,,,,443.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,37.0,14.0,0.38,,,,,,,,,
,,2013 - 2014,,,,,,,988.0,368.0,0.37,,,,,,,,,
,,2014 - 2015,,,,,,,188.0,86.0,0.46,,,,,,,,,
,,2015 - 2016,,,,,,,492.0,102.0,0.21,,,,,,,,,
,,2016 - 2017,,,,,,,240.0,106.0,0.44,,,,,,,,,
,,2017 - 2018,,,,,,,282.0,285.0,1.01,,,,,,,,,
,,2018 - 2019,,,,,,,248.0,165.0,0.67,,,,,,,,,
,,2019 - 2020,,,,,,,549.0,331.0,0.6,,,,,,,,,
,,2020 - 2021,,,,,,,863.0,728.0,0.84,,,,,,,,,
,,2021 - 2022,,,,,,,378.0,305.0,0.81,,,,,,,,,
,,2022 - 2023,,,,,,,554.0,451.0,0.81,,,,,,,,,
,Bangalore rural,2000 - 2001,,,,,,,,,0.67,,,,,,,,,
,,2001 - 2002,,,,,,,,986.0,0.37,,,,,,,,,
,,2002 - 2003,,,,,,,139.0,46.0,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,400.0,204.0,0.51,,,,,,,,,
,,2004 - 2005,,,,,,,,795.0,0.54,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.87,,,,,,,,,
,,2006 - 2007,,,,,,,,632.0,0.51,,,,,,,,,
,,2007 - 2008,,,,,,,12.0,7.0,0.58,,,,,,,,,
,,2008 - 2009,,,,,,,2.0,1.0,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,5.0,2.0,0.4,,,,,,,,,
,,2010 - 2011,,,,,,,31.0,18.0,0.58,,,,,,,,,
,,2011 - 2012,,,,,,,24.0,12.0,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,23.0,7.0,0.3,,,,,,,,,
,,2013 - 2014,,,,,,,15.0,9.0,0.6,,,,,,,,,
,,2014 - 2015,,,,,,,8.0,4.0,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,14.0,7.0,0.5,,,,,,,,,
,,2016 - 2017,,,,,,,9.0,6.0,0.67,,,,,,,,,
,,2017 - 2018,,,,,,,2.0,2.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,,,,,,,3.0,3.0,1.0,,,,,,,,,
,,2020 - 2021,,,,,,,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,,,,,,,5.0,4.0,0.8,,,,,,,,,
,,2022 - 2023,,,,,,,4.0,3.0,0.75,,,,,,,,,
,Belgaum,2000 - 2001,,,,,,,,558.0,0.41,,,,,,,,,
,,2001 - 2002,,,,,,,789.0,292.0,0.37,,,,,,,,,
,,2002 - 2003,,,,,,,889.0,343.0,0.39,,,,,,,,,
,,2003 - 2004,,,,,,,329.0,145.0,0.44,,,,,,,,,
,,2004 - 2005,,,,,,,588.0,317.0,0.54,,,,,,,,,
,,2005 - 2006,,,,,,,759.0,658.0,0.87,,,,,,,,,
,,2006 - 2007,,,,,,,781.0,332.0,0.43,,,,,,,,,
,,2007 - 2008,,,,,,,873.0,239.0,0.27,,,,,,,,,
,,2008 - 2009,,,,,,,516.0,109.0,0.21,,,,,,,,,
,,2009 - 2010,,,,,,,546.0,23.0,0.04,,,,,,,,,
,,2010 - 2011,,,,,,,615.0,113.0,0.18,,,,,,,,,
,,2011 - 2012,,,,,,,502.0,65.0,0.13,,,,,,,,,
,,2012 - 2013,,,,,,,278.0,26.0,0.09,,,,,,,,,
,,2013 - 2014,,,,,,,321.0,73.0,0.23,,,,,,,,,
,,2014 - 2015,,,,,,,160.0,138.0,0.86,,,,,,,,,
,,2015 - 2016,,,,,,,110.0,38.0,0.35,,,,,,,,,
,,2016 - 2017,,,,,,,267.0,202.0,0.76,,,,,,,,,
,,2017 - 2018,,,,,,,84.0,52.0,0.62,,,,,,,,,
,,2018 - 2019,,,,,,,23.0,32.0,1.39,,,,,,,,,
,,2019 - 2020,,,,,,,26.0,22.0,0.85,,,,,,,,,
,,2020 - 2021,,,,,,,153.0,35.0,0.23,,,,,,,,,
,,2021 - 2022,,,,,,,50.0,15.0,0.3,,,,,,,,,
,,2022 - 2023,,,,,,,112.0,73.0,0.65,,,,,,,,,
,Bellary,2000 - 2001,,,,,,,,,0.42,,,,,,,,,
,,2001 - 2002,,,,,,,,,0.28,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.47,,,,,,,,,
,,2003 - 2004,,,,,,,,311.0,0.12,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.34,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.47,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.25,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.46,,,,,,,,,
,,2008 - 2009,,,,,,,,581.0,0.29,,,,,,,,,
,,2009 - 2010,,,,,,,,536.0,0.18,,,,,,,,,
,,2010 - 2011,,,,,,,,656.0,0.32,,,,,,,,,
,,2011 - 2012,,,,,,,541.0,143.0,0.26,,,,,,,,,
,,2012 - 2013,,,,,,,82.0,27.0,0.33,,,,,,,,,
,,2013 - 2014,,,,,,,544.0,241.0,0.44,,,,,,,,,
,,2014 - 2015,,,,,,,,457.0,0.37,,,,,,,,,
,,2015 - 2016,,,,,,,,788.0,0.25,,,,,,,,,
,,2016 - 2017,,,,,,,655.0,306.0,0.47,,,,,,,,,
,,2017 - 2018,,,,,,,89.0,169.0,1.9,,,,,,,,,
,,2018 - 2019,,,,,,,101.0,134.0,1.33,,,,,,,,,
,,2019 - 2020,,,,,,,133.0,119.0,0.89,,,,,,,,,
,,2020 - 2021,,,,,,,207.0,293.0,1.42,,,,,,,,,
,,2021 - 2022,,,,,,,253.0,213.0,0.84,,,,,,,,,
,,2022 - 2023,,,,,,,56.0,34.0,0.61,,,,,,,,,
,Bengaluru urban,2000 - 2001,,,,,,,212.0,87.0,0.41,,,,,,,,,
,,2001 - 2002,,,,,,,56.0,21.0,0.38,,,,,,,,,
,,2002 - 2003,,,,,,,7.0,3.0,0.43,,,,,,,,,
,,2004 - 2005,,,,,,,124.0,67.0,0.54,,,,,,,,,
