state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2008 - 2009,87.0,619.0,7.11,,,,,,,,,
,,2009 - 2010,88.0,616.0,7.0,,,,,,,,,
,,2010 - 2011,92.0,644.0,7.0,,,,,,,,,
,,2011 - 2012,94.0,663.0,7.05,,,,,,,,,
,,2012 - 2013,98.0,735.0,7.5,,,,,,,,,
,,2013 - 2014,105.0,788.0,7.5,,,,,,,,,
,,2014 - 2015,114.0,842.0,7.39,,,,,,,,,
,,2015 - 2016,121.0,842.0,6.96,,,,,,,,,
,,2016 - 2017,121.0,815.0,6.74,,,,,,,,,
,,2017 - 2018,122.0,815.0,6.68,,,,,,,,,
,,2018 - 2019,122.0,815.0,6.68,,,,,,,,,
,,2019 - 2020,127.0,820.0,6.46,,,,,,,,,
,,2020 - 2021,128.0,824.0,6.44,,,,,,,,,
,,2021 - 2022,143.0,921.0,6.44,,,,,,,,,
,,2022 - 2023,152.0,983.0,6.47,,,,,,,,,
,Lower siang,2018 - 2019,90.0,344.0,3.82,,,,,,,,,
,,2019 - 2020,82.0,311.0,3.79,,,,,,,,,
,,2020 - 2021,82.0,315.0,3.84,,,,,,,,,
,,2021 - 2022,97.0,373.0,3.85,,,,,,,,,
,,2022 - 2023,100.0,385.0,3.85,,,,,,,,,
,Lower subansiri,2000 - 2001,40.0,326.0,8.15,,,,,,,,,
,,2001 - 2002,5.0,10.0,2.0,,,,,,,,,
,,2002 - 2003,35.0,245.0,7.0,,,,,,,,,
,,2004 - 2005,12.0,20.0,1.67,,,,,,,,,
,Namsai,2015 - 2016,84.0,485.0,5.77,,,,,,,,,
,,2016 - 2017,84.0,458.0,5.45,,,,,,,,,
,,2017 - 2018,85.0,458.0,5.39,,,,,,,,,
,,2018 - 2019,85.0,458.0,5.39,,,,,,,,,
,,2019 - 2020,86.0,460.0,5.35,,,,,,,,,
,,2020 - 2021,86.0,464.0,5.4,,,,,,,,,
,,2021 - 2022,95.0,513.0,5.4,,,,,,,,,
,,2022 - 2023,102.0,552.0,5.41,,,,,,,,,
,Papum pare,2002 - 2003,6.0,,0.0,,,,,,,,,
,,2004 - 2005,180.0,360.0,2.0,,,,,,,,,
,,2005 - 2006,25.0,175.0,7.0,,,,,,,,,
,,2007 - 2008,18.0,116.0,6.44,,,,,,,,,
,,2008 - 2009,20.0,136.0,6.8,,,,,,,,,
,,2009 - 2010,25.0,180.0,7.2,,,,,,,,,
,,2010 - 2011,22.0,152.0,6.91,,,,,,,,,
,,2011 - 2012,23.0,157.0,6.83,,,,,,,,,
