state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.33
,,2012 - 2013,0.37
,,2013 - 2014,0.63
,,2014 - 2015,1.0
,,2015 - 2016,0.57
,,2017 - 2018,0.47
,,2018 - 2019,0.38
,,2019 - 2020,0.63
,,2020 - 2021,1.01
,,2021 - 2022,0.55
,,2022 - 2023,0.75
,Umaria,2005 - 2006,0.4
,,2006 - 2007,0.34
,,2007 - 2008,0.36
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.14
,,2011 - 2012,0.29
,,2012 - 2013,0.4
,,2013 - 2014,0.73
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,0.57
,,2018 - 2019,0.58
,,2019 - 2020,0.59
,,2020 - 2021,0.68
,,2021 - 2022,0.59
,,2022 - 2023,0.61
,Vidisha,2005 - 2006,0.63
,,2006 - 2007,0.65
,,2007 - 2008,0.52
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.44
,,2011 - 2012,0.51
,,2012 - 2013,0.67
,,2013 - 2014,0.58
,,2014 - 2015,1.6
,,2015 - 2016,0.5
,,2016 - 2017,1.07
,,2017 - 2018,1.04
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.64
,,2021 - 2022,0.72
,,2022 - 2023,0.81
Manipur,Bishnupur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.8
,,2009 - 2010,0.95
,,2010 - 2011,0.86
,,2011 - 2012,0.99
,,2012 - 2013,0.99
,,2013 - 2014,0.91
,,2014 - 2015,0.97
,,2015 - 2016,0.95
,,2016 - 2017,0.95
,,2017 - 2018,0.96
,,2018 - 2019,0.96
,Chandel,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.03
,,2009 - 2010,0.74
,,2010 - 2011,0.98
,,2011 - 2012,1.0
,,2012 - 2013,0.93
,,2013 - 2014,0.92
,,2014 - 2015,0.93
,,2015 - 2016,0.92
,,2016 - 2017,0.93
,,2017 - 2018,0.94
,,2018 - 2019,0.84
,Churachandpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.82
,,2009 - 2010,0.74
,,2010 - 2011,0.88
,,2011 - 2012,0.97
,,2012 - 2013,0.94
,,2013 - 2014,0.92
,,2014 - 2015,0.95
,,2015 - 2016,0.94
,,2016 - 2017,0.95
,,2017 - 2018,0.96
,,2018 - 2019,0.94
,Imphal east,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.73
,,2009 - 2010,0.93
,,2010 - 2011,0.89
,,2011 - 2012,0.92
,,2012 - 2013,0.95
,,2013 - 2014,0.97
,,2014 - 2015,0.96
,,2015 - 2016,0.95
,,2016 - 2017,0.96
,,2017 - 2018,0.97
,,2018 - 2019,0.96
,Imphal west,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.77
,,2009 - 2010,0.97
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.94
,,2014 - 2015,0.95
,,2015 - 2016,0.94
,,2016 - 2017,0.93
,,2017 - 2018,0.95
,,2018 - 2019,0.94
,Senapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.7
,,2009 - 2010,0.74
,,2010 - 2011,0.78
,,2011 - 2012,0.93
,,2012 - 2013,0.9
,,2013 - 2014,0.86
,,2014 - 2015,0.88
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.9
,Tamenglong,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.73
,,2009 - 2010,0.64
,,2010 - 2011,0.73
,,2011 - 2012,0.87
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,0.92
,,2015 - 2016,0.98
,,2016 - 2017,0.89
,,2017 - 2018,0.89
,,2018 - 2019,0.95
,Thoubal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.72
,,2009 - 2010,0.9
,,2010 - 2011,0.89
,,2011 - 2012,0.94
,,2012 - 2013,0.98
,,2013 - 2014,0.92
,,2014 - 2015,0.96
,,2015 - 2016,0.97
,,2016 - 2017,0.94
,,2017 - 2018,0.95
,,2018 - 2019,0.96
,Ukhrul,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.28
,,2009 - 2010,0.77
,,2010 - 2011,0.96
,,2011 - 2012,0.88
,,2012 - 2013,0.93
,,2013 - 2014,0.89
,,2014 - 2015,0.93
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.92
,,2018 - 2019,0.92
Meghalaya,East garo hills,2009 - 2010,0.63
,,2010 - 2011,0.59
,,2011 - 2012,0.7
,,2012 - 2013,1.05
,,2013 - 2014,1.06
,,2014 - 2015,1.08
,,2015 - 2016,1.12
,,2016 - 2017,1.02
,,2017 - 2018,1.02
,,2018 - 2019,1.02
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2022 - 2023,1.04
,East jaintia hills,2009 - 2010,0.69
,,2010 - 2011,0.7
,,2011 - 2012,0.75
,,2012 - 2013,0.97
,,2013 - 2014,0.83
,,2014 - 2015,0.94
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.05
,East khasi hills,2009 - 2010,2.78
,,2010 - 2011,2.75
,,2011 - 2012,2.8
,,2012 - 2013,3.48
,,2013 - 2014,3.51
,,2014 - 2015,3.54
,,2015 - 2016,3.57
,,2016 - 2017,3.58
,,2017 - 2018,3.58
,,2018 - 2019,3.58
,,2019 - 2020,3.58
,,2020 - 2021,3.58
,,2022 - 2023,3.58
,North garo hills,2013 - 2014,1.08
,,2014 - 2015,1.12
,,2015 - 2016,1.16
,,2016 - 2017,1.16
,,2017 - 2018,1.16
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,,2020 - 2021,1.17
,,2022 - 2023,1.18
,Ri bhoi,2009 - 2010,0.58
,,2010 - 2011,0.64
,,2011 - 2012,0.65
,,2012 - 2013,1.09
,,2013 - 2014,1.11
,,2014 - 2015,1.14
,,2015 - 2016,1.18
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.14
,,2020 - 2021,1.14
,,2022 - 2023,1.17
,South garo hills,2009 - 2010,2.05
,,2010 - 2011,1.98
,,2011 - 2012,2.05
,,2012 - 2013,3.23
,,2013 - 2014,3.27
,,2014 - 2015,3.31
,,2015 - 2016,3.52
,,2016 - 2017,3.51
,,2017 - 2018,3.52
,,2018 - 2019,3.52
,,2019 - 2020,3.53
,,2020 - 2021,3.53
,,2022 - 2023,4.96
,South west garo hills,2013 - 2014,1.26
,,2014 - 2015,1.35
,,2015 - 2016,1.36
,,2016 - 2017,1.36
,,2017 - 2018,1.37
,,2018 - 2019,1.37
,,2019 - 2020,1.37
,,2020 - 2021,1.37
,,2022 - 2023,1.38
,South west khasi hills,2013 - 2014,1.83
,,2014 - 2015,2.17
,,2015 - 2016,2.33
,,2016 - 2017,2.33
,,2017 - 2018,2.33
,,2018 - 2019,2.33
,,2019 - 2020,2.33
,,2020 - 2021,2.33
,,2022 - 2023,2.78
,West garo hills,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,1.19
,,2013 - 2014,1.2
,,2014 - 2015,1.22
,,2015 - 2016,1.26
,,2016 - 2017,1.26
,,2017 - 2018,1.26
,,2018 - 2019,1.26
,,2019 - 2020,1.27
,,2020 - 2021,1.27
,,2022 - 2023,1.27
,West jaintia hills,2013 - 2014,1.05
,,2014 - 2015,1.09
,,2015 - 2016,1.13
,,2016 - 2017,1.13
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.14
,,2020 - 2021,1.14
,,2022 - 2023,1.13
,West khasi hills,2009 - 2010,0.86
,,2010 - 2011,1.43
,,2011 - 2012,1.43
,,2012 - 2013,2.07
,,2013 - 2014,2.13
,,2014 - 2015,2.22
,,2015 - 2016,2.29
,,2016 - 2017,2.28
,,2017 - 2018,2.28
,,2018 - 2019,2.29
,,2019 - 2020,2.29
,,2020 - 2021,2.29
,,2022 - 2023,2.3
Mizoram,Aizawl,2001 - 2002,0.61
,,2003 - 2004,0.89
,,2005 - 2006,0.72
,Champhai,2003 - 2004,0.79
,,2005 - 2006,1.15
,Kolasib,2001 - 2002,
,,2003 - 2004,1.21
,,2005 - 2006,0.87
,Lawngtlai,2005 - 2006,
,Lunglei,2001 - 2002,1.09
,,2003 - 2004,1.33
,,2005 - 2006,0.83
,Mamit,2003 - 2004,1.29
,,2005 - 2006,0.82
,Saiha,2003 - 2004,0.6
,,2005 - 2006,
,Serchhip,2005 - 2006,0.9
Nagaland,Chumoukedima,2022 - 2023,1.09
,Dimapur,2000 - 2001,1.02
,,2001 - 2002,1.02
,,2002 - 2003,0.17
,,2003 - 2004,0.96
,,2004 - 2005,0.94
,,2005 - 2006,1.49
,,2006 - 2007,1.22
,,2007 - 2008,2.07
,,2008 - 2009,1.68
,,2009 - 2010,1.01
,,2011 - 2012,0.93
,,2012 - 2013,1.04
,,2013 - 2014,1.09
,,2014 - 2015,1.09
,,2015 - 2016,1.11
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.12
,,2021 - 2022,1.12
,,2022 - 2023,1.09
,Kiphire,2008 - 2009,1.3
,,2009 - 2010,1.03
,,2010 - 2011,
,,2011 - 2012,0.88
,,2012 - 2013,1.03
,,2013 - 2014,1.06
,,2014 - 2015,1.09
,,2015 - 2016,1.09
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.09
,,2019 - 2020,1.09
,,2020 - 2021,1.1
,,2021 - 2022,0.92
,,2022 - 2023,1.0
,Kohima,2000 - 2001,1.03
,,2001 - 2002,0.99
,,2002 - 2003,0.8
,,2003 - 2004,0.47
,,2004 - 2005,0.92
,,2005 - 2006,1.36
,,2006 - 2007,1.21
,,2007 - 2008,1.15
,,2008 - 2009,1.32
,,2009 - 2010,1.02
,,2010 - 2011,
,,2011 - 2012,0.89
,,2012 - 2013,1.05
,,2013 - 2014,1.08
,,2014 - 2015,1.09
,,2015 - 2016,1.09
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.09
,,2019 - 2020,1.09
,,2020 - 2021,1.11
,,2021 - 2022,1.1
,,2022 - 2023,1.09
,Longleng,2008 - 2009,1.27
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,0.88
,,2012 - 2013,1.05
,,2013 - 2014,1.08
,,2014 - 2015,1.11
,,2015 - 2016,1.11
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.1
,,2020 - 2021,1.12
,,2021 - 2022,1.12
,,2022 - 2023,1.08
,Mokokchung,2000 - 2001,0.99
,,2001 - 2002,1.02
,,2002 - 2003,1.09
,,2003 - 2004,1.15
,,2004 - 2005,0.8
,,2005 - 2006,1.4
,,2006 - 2007,1.18
,,2007 - 2008,1.11
,,2008 - 2009,1.31
,,2009 - 2010,1.01
,,2010 - 2011,
,,2011 - 2012,0.91
,,2012 - 2013,1.05
,,2013 - 2014,1.08
,,2014 - 2015,1.09
,,2015 - 2016,1.09
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.12
,,2021 - 2022,1.12
,,2022 - 2023,1.02
,Mon,2000 - 2001,1.0
,,2001 - 2002,1.01
,,2002 - 2003,1.0
,,2003 - 2004,0.46
,,2004 - 2005,0.53
,,2005 - 2006,1.69
,,2006 - 2007,1.21
,,2007 - 2008,1.21
,,2008 - 2009,1.27
,,2009 - 2010,0.97
,,2010 - 2011,
,,2011 - 2012,0.91
,,2012 - 2013,1.06
,,2013 - 2014,1.08
,,2014 - 2015,1.08
,,2015 - 2016,1.08
,,2016 - 2017,1.08
,,2017 - 2018,1.09
,,2018 - 2019,1.09
,,2019 - 2020,1.09
,,2020 - 2021,1.1
,,2021 - 2022,1.11
,,2022 - 2023,1.09
,Noklak,2021 - 2022,1.13
,,2022 - 2023,1.12
,Nuiland,2022 - 2023,1.09
,Peren,2008 - 2009,1.3
,,2009 - 2010,0.96
,,2010 - 2011,
,,2011 - 2012,0.93
,,2012 - 2013,1.02
,,2013 - 2014,1.09
,,2014 - 2015,1.11
,,2015 - 2016,1.11
,,2016 - 2017,1.11
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.11
,,2021 - 2022,1.1
,,2022 - 2023,1.09
,Phek,2000 - 2001,0.99
,,2001 - 2002,1.02
,,2002 - 2003,0.91
,,2003 - 2004,0.86
,,2004 - 2005,0.79
,,2005 - 2006,1.35
,,2006 - 2007,1.2
,,2007 - 2008,1.24
,,2008 - 2009,1.63
,,2009 - 2010,1.01
,,2010 - 2011,
,,2011 - 2012,0.92
,,2012 - 2013,1.04
,,2013 - 2014,1.07
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.09
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.12
,,2021 - 2022,1.12
,,2022 - 2023,1.08
,Shamator,2022 - 2023,1.07
,Tseminyu,2022 - 2023,1.09
,Tuensang,2000 - 2001,0.98
,,2001 - 2002,1.0
,,2002 - 2003,0.92
,,2003 - 2004,0.49
,,2004 - 2005,0.56
,,2005 - 2006,1.45
,,2006 - 2007,1.21
,,2007 - 2008,1.16
,,2008 - 2009,1.25
,,2009 - 2010,0.96
,,2010 - 2011,
,,2011 - 2012,0.88
,,2012 - 2013,1.05
,,2013 - 2014,1.07
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.12
,,2021 - 2022,0.98
,,2022 - 2023,1.08
,Wokha,2000 - 2001,1.0
,,2001 - 2002,0.98
,,2002 - 2003,0.78
,,2003 - 2004,0.55
,,2004 - 2005,0.8
,,2005 - 2006,1.48
,,2006 - 2007,1.19
,,2007 - 2008,2.12
,,2008 - 2009,1.3
,,2009 - 2010,1.03
,,2010 - 2011,
,,2011 - 2012,0.93
,,2012 - 2013,1.05
,,2013 - 2014,1.08
,,2014 - 2015,1.11
,,2015 - 2016,1.12
,,2016 - 2017,1.12
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.11
,,2021 - 2022,1.12
,,2022 - 2023,1.07
,Zunheboto,2000 - 2001,0.99
,,2001 - 2002,0.96
,,2002 - 2003,0.89
,,2003 - 2004,0.52
,,2004 - 2005,0.63
,,2005 - 2006,1.68
,,2006 - 2007,1.21
,,2007 - 2008,1.06
,,2008 - 2009,1.29
,,2009 - 2010,0.98
,,2010 - 2011,
,,2011 - 2012,0.9
,,2012 - 2013,1.05
,,2013 - 2014,1.07
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.11
,,2021 - 2022,1.11
,,2022 - 2023,1.1
Odisha,Anugul,2019 - 2020,0.78
,Balangir,2019 - 2020,0.79
,Baleshwar,2019 - 2020,0.77
,Bargarh,2019 - 2020,0.89
,Bhadrak,2019 - 2020,0.8
,Boudh,2019 - 2020,0.81
,Cuttack,2019 - 2020,0.77
,Deogarh,2019 - 2020,0.71
,Dhenkanal,2019 - 2020,0.76
,Gajapati,2019 - 2020,0.76
,Ganjam,2019 - 2020,0.77
,Jagatsinghapur,2019 - 2020,0.8
,Jajapur,2019 - 2020,0.74
,Jharsuguda,2019 - 2020,0.79
,Kalahandi,2019 - 2020,0.76
,Kandhamal,2019 - 2020,0.73
,Kendrapara,2019 - 2020,0.79
,Kendujhar,2019 - 2020,0.74
,Khordha,2019 - 2020,0.76
,Koraput,2019 - 2020,0.74
,Malkangiri,2019 - 2020,0.77
,Mayurbhanj,2019 - 2020,0.78
,Nabarangpur,2019 - 2020,0.77
,Nayagarh,2019 - 2020,0.75
,Nuapada,2019 - 2020,0.68
,Puri,2019 - 2020,0.83
,Rayagada,2019 - 2020,0.74
,Sambalpur,2019 - 2020,0.78
,Sonepur,2019 - 2020,0.79
,Sundargarh,2019 - 2020,0.75
Punjab,Amritsar,2005 - 2006,1.33
,,2006 - 2007,1.0
,,2010 - 2011,1.25
,,2011 - 2012,1.0
,,2014 - 2015,1.08
,,2015 - 2016,1.5
,,2016 - 2017,1.0
,,2017 - 2018,0.38
,,2018 - 2019,0.57
,,2019 - 2020,0.56
,,2021 - 2022,0.5
,Firozepur,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2014 - 2015,0.9
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.5
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Gurdaspur,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2014 - 2015,0.9
,,2019 - 2020,1.0
,Hoshiarpur,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.33
,,2012 - 2013,1.0
,,2013 - 2014,1.3
,,2014 - 2015,1.3
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2021 - 2022,1.0
,Jalandhar,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2013 - 2014,1.05
,,2014 - 2015,1.1
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Kapurthala,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2010 - 2011,1.0
,,2014 - 2015,1.4
,,2015 - 2016,2.0
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2021 - 2022,1.0
,Ludhiana,2005 - 2006,1.25
,,2006 - 2007,1.4
,,2008 - 2009,1.5
,,2009 - 2010,1.33
,,2010 - 2011,1.33
,,2011 - 2012,1.33
,,2012 - 2013,1.67
,,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,3.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.0
,Mansa,2018 - 2019,1.0
,Moga,2015 - 2016,1.0
,Muktsar,2005 - 2006,1.0
,,2006 - 2007,1.0
,Nawanshahr,2011 - 2012,1.0
,,2013 - 2014,1.7
,,2014 - 2015,1.2
,,2015 - 2016,2.0
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,Patiala,2005 - 2006,1.29
,,2006 - 2007,1.25
,,2008 - 2009,1.25
,,2009 - 2010,1.17
,,2010 - 2011,1.29
,,2011 - 2012,1.29
,,2014 - 2015,1.15
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2018 - 2019,1.5
,,2021 - 2022,1.06
,Sangrur,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.67
,,2011 - 2012,1.33
,,2012 - 2013,1.33
,,2014 - 2015,1.03
,,2015 - 2016,1.75
,,2016 - 2017,2.0
,,2017 - 2018,1.8
,,2018 - 2019,1.75
,,2019 - 2020,1.5
,,2021 - 2022,1.67
,Tarn taran,2006 - 2007,1.0
,,2008 - 2009,0.0
,,2009 - 2010,1.0
,,2010 - 2011,1.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.7
,,2015 - 2016,1.0
,,2016 - 2017,1.5
,,2017 - 2018,0.5
,,2019 - 2020,1.0
,,2021 - 2022,1.0
Rajasthan,Ajmer,2000 - 2001,1.66
,,2001 - 2002,1.41
,,2002 - 2003,1.09
,,2003 - 2004,1.76
,,2005 - 2006,2.43
,,2006 - 2007,1.71
,,2013 - 2014,1.79
,,2014 - 2015,1.85
,,2015 - 2016,1.83
,,2016 - 2017,1.57
,,2017 - 2018,1.79
,,2018 - 2019,2.79
,,2019 - 2020,3.85
,,2020 - 2021,2.33
,,2021 - 2022,3.86
,,2022 - 2023,2.8
,Alwar,2000 - 2001,1.15
,,2001 - 2002,1.11
,,2002 - 2003,1.21
,,2003 - 2004,1.94
,,2005 - 2006,2.0
,,2006 - 2007,0.98
,,2007 - 2008,1.65
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,1.76
,,2011 - 2012,1.0
,,2012 - 2013,0.52
,,2013 - 2014,0.98
,,2014 - 2015,2.81
,,2015 - 2016,3.31
,,2016 - 2017,2.48
,,2017 - 2018,2.45
,,2018 - 2019,2.93
,,2019 - 2020,3.53
,,2020 - 2021,2.92
,,2021 - 2022,3.64
,,2022 - 2023,3.47
,Banswara,2000 - 2001,0.8
,,2001 - 2002,0.75
,,2002 - 2003,0.25
,,2003 - 2004,0.75
,,2004 - 2005,0.7
,,2005 - 2006,0.71
,,2006 - 2007,1.5
,,2007 - 2008,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.83
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.75
,,2018 - 2019,7.63
,,2019 - 2020,1.0
,Baran,2000 - 2001,1.29
,,2001 - 2002,1.59
,,2002 - 2003,1.86
,,2003 - 2004,1.41
,,2004 - 2005,0.0
,,2005 - 2006,2.82
,,2006 - 2007,1.89
,,2007 - 2008,2.02
,,2008 - 2009,2.19
,,2009 - 2010,1.7
,,2010 - 2011,1.78
,,2011 - 2012,2.14
,,2012 - 2013,2.11
,,2013 - 2014,1.39
,,2014 - 2015,1.46
,,2015 - 2016,1.67
,,2016 - 2017,3.58
,,2017 - 2018,1.88
,,2018 - 2019,2.09
,,2019 - 2020,2.34
,,2020 - 2021,2.48
,,2021 - 2022,2.03
,,2022 - 2023,2.17
,Barmer,2006 - 2007,1.25
,,2013 - 2014,1.0
,,2016 - 2017,0.0
,Bharatpur,2000 - 2001,1.69
,,2001 - 2002,1.85
,,2002 - 2003,1.22
,,2003 - 2004,1.74
,,2005 - 2006,1.65
,,2006 - 2007,1.83
,,2007 - 2008,1.28
,,2008 - 2009,1.97
,,2009 - 2010,2.52
,,2010 - 2011,1.65
,,2011 - 2012,1.5
,,2012 - 2013,1.48
,,2013 - 2014,1.52
,,2014 - 2015,1.55
,,2015 - 2016,5.19
,,2016 - 2017,4.84
,,2017 - 2018,5.78
,,2018 - 2019,5.61
,,2019 - 2020,4.57
,,2020 - 2021,4.76
,,2021 - 2022,6.34
,,2022 - 2023,2.98
,Bhilwara,2000 - 2001,1.09
,,2001 - 2002,0.89
,,2002 - 2003,1.25
,,2003 - 2004,1.18
,,2005 - 2006,0.96
,,2006 - 2007,1.0
,,2007 - 2008,1.75
,,2008 - 2009,1.0
,,2009 - 2010,0.97
,,2010 - 2011,1.0
,,2011 - 2012,1.26
,,2012 - 2013,0.1
,,2013 - 2014,3.69
,,2014 - 2015,3.75
,,2015 - 2016,4.1
,,2016 - 2017,1.31
,,2017 - 2018,3.94
,,2018 - 2019,5.44
,,2019 - 2020,2.37
,,2020 - 2021,2.97
,,2021 - 2022,2.05
,,2022 - 2023,1.91
,Bikaner,2000 - 2001,1.3
,,2001 - 2002,0.53
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,0.64
,,2015 - 2016,5.0
,,2016 - 2017,1.0
,,2017 - 2018,1.14
,,2018 - 2019,1.27
,,2019 - 2020,1.07
,,2020 - 2021,1.12
,,2021 - 2022,1.06
,,2022 - 2023,15.0
,Bundi,2000 - 2001,0.91
,,2001 - 2002,1.02
,,2002 - 2003,1.0
,,2003 - 2004,1.48
,,2005 - 2006,6.33
,,2006 - 2007,1.55
,,2007 - 2008,1.01
,,2008 - 2009,1.49
,,2009 - 2010,1.95
,,2010 - 2011,0.57
,,2011 - 2012,2.01
,,2012 - 2013,2.98
,,2013 - 2014,3.01
,,2014 - 2015,3.0
,,2015 - 2016,3.03
,,2016 - 2017,2.84
,,2017 - 2018,2.79
,,2018 - 2019,2.76
,,2019 - 2020,3.8
,,2020 - 2021,2.98
,,2021 - 2022,3.61
,,2022 - 2023,3.56
,Chittorgarh,2000 - 2001,2.19
,,2001 - 2002,0.9
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2005 - 2006,0.8
,,2006 - 2007,2.0
,,2007 - 2008,2.09
,,2008 - 2009,1.2
,,2009 - 2010,1.0
,,2010 - 2011,1.09
,,2011 - 2012,1.0
,,2012 - 2013,1.1
,,2013 - 2014,2.0
,,2014 - 2015,3.76
,,2015 - 2016,4.0
,,2016 - 2017,2.59
,,2017 - 2018,3.8
,,2018 - 2019,4.02
,,2019 - 2020,3.72
,,2020 - 2021,4.39
,,2021 - 2022,3.67
,,2022 - 2023,4.41
,Churu,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.5
,,2017 - 2018,1.0
,,2018 - 2019,3.57
,,2019 - 2020,4.5
,,2020 - 2021,3.0
,,2021 - 2022,13.0
,,2022 - 2023,4.0
,Dausa,2000 - 2001,1.44
,,2001 - 2002,1.59
,,2002 - 2003,1.35
,,2003 - 2004,1.95
,,2005 - 2006,1.37
,,2006 - 2007,0.7
,,2007 - 2008,1.56
,,2008 - 2009,2.0
,,2009 - 2010,3.08
,,2010 - 2011,1.6
,,2011 - 2012,1.13
,,2012 - 2013,1.43
,,2013 - 2014,2.0
,,2014 - 2015,0.47
,,2015 - 2016,0.66
,,2016 - 2017,1.38
,,2017 - 2018,2.27
,,2018 - 2019,1.92
,,2019 - 2020,2.65
,,2020 - 2021,1.76
,,2021 - 2022,2.67
,,2022 - 2023,3.56
,Dholpur,2000 - 2001,0.77
,,2001 - 2002,0.84
,,2002 - 2003,0.84
,,2003 - 2004,1.8
,,2005 - 2006,1.0
