Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
113,Madhya Pradesh,Mandla,,4.45,4.37,4.63,4.8,4.8,4.8,4.81,4.8,4.8,3.47,3.48,5.67,8.72,,17.2,17.51,17.53,17.69,17.73,,,
114,Karnataka,Shimoga,,,,,,,,,,,,,,,,,,,14.6,,,17.5,12
115,Madhya Pradesh,Singrauli,,,,,,,,,7.05,7.04,5.52,4.42,5.52,5.1,,16.6,16.7,16.7,17,17.25,,,
116,Bihar,Purnia,17.06,10.91,12.36,14.82,13.6,14.96,,13.32,13.64,,,,,,,,,,,,,,
117,Kerala,Palakkad,9.22,9.22,9.22,9.22,9.22,9.22,9.23,9.23,9.22,9.23,,,16.84,17,15,15,15,15,15,15.14,15.14,15.14,14.51
118,Tamil Nadu,Nagapattinam,,,13.67,,,,17,,,14.67,,,,,,,,,,,,,
119,Karnataka,Hassan,6.1,,6.09,6.1,6.09,6.09,6.1,6.09,10.12,6.57,8.24,14.54,15.52,14.67,16.96,15.9,11.99,12.98,13.48,12.92,13.33,16.65,11.69
120,Karnataka,Kodagu,6.25,,6.2,6.2,6.25,6.25,6.26,6.24,12.85,12.18,8.25,14.57,15.53,14.69,16.96,15.89,12,12.97,14.52,12.39,13.02,13.09,12.02
121,Haryana,Kaithal,,,,,,,,,,,,,16.67,,,,,,,,,,
122,Bihar,Khagaria,12.06,13.33,14,,14,16.3,,13.13,14.56,,,,,,,,,,,,,,
123,Bihar,Sitamarhi,12.04,10.92,12.56,13.99,13.68,16.3,,14.41,12.05,,,,,,,,,,,,,,
124,Bihar,Saharsa,12,7.89,8.8,13.59,10.23,16.29,,13.18,13.5,,,,,,,,,,,,,,
125,Bihar,Darbhanga,12.61,7.38,10.16,13.77,15.9,16.25,,13.13,4.88,,,,,,,,,,,,,,
126,Madhya Pradesh,Alirajpur,,,,,,,,,6.33,5.33,4.3,5.07,6.27,4.56,,16,16,16.07,16.1,16.12,,,
127,Madhya Pradesh,Shahdol,,5.06,4.97,4.97,4.52,4.52,4.52,4.52,4.52,4.97,3.11,3.34,6.86,6.19,,15.01,16.12,13.36,13.32,13.32,,,
128,Kerala,Kozhikode,11.4,11.4,11.44,11.43,11.42,11.44,11.42,11.42,11.41,11.41,,,16.07,16,15.33,15.31,15.3,15.27,15.27,15.1,15.1,15.17,15.17
129,Bihar,Sheohar,12.07,11.64,10.53,13.17,14.6,16.05,,,,,,,,,,,,,,,,,
130,Kerala,Wayanad,11.67,11.67,11.69,11.71,11.69,11.73,11.75,11.75,11.75,11.78,,,15.67,16,15.88,15.86,15.86,15.75,15.75,15.33,15.33,15.25,15.25
131,Andhra Pradesh,Kurnool,13.6,13.25,10.82,7.2,2.04,5.25,5.5,,5.71,5.89,12.83,12.85,,,,12.18,,,,16,,,
132,Telangana,Sangareddy,,,,,,,,,,,,,,,,,,8,,16,,,
133,Bihar,Nawada,12,12.78,14.55,8.1,8.13,15.98,,13.13,14.2,,,,,,,,,,,,,,
134,Bihar,Gaya,12.15,,10.57,8.55,10.25,15.93,,13,14,,,,,,,,,,,,,,
135,Bihar,Pashchim champaran,12.21,8.77,14.71,14.55,15.91,14.91,,13.18,12.07,,,,,,,,,,,,,,
136,Bihar,Banka,,,14.7,,15.9,,,,,,,,,,,,,,,,,,
137,Bihar,Muzaffarpur,12.09,11.21,12.94,13.36,14.27,15.86,,13.1,12.07,,,,,,,,,,,,,,
138,Bihar,Bhagalpur,12.07,11.22,14.73,13.82,15.84,14.94,,13.31,13.61,,,,,,,,,,,,,,
139,Telangana,Rangareddi,13.52,13.27,10.81,7.24,7.03,8.41,9,,1,2,12.83,12.86,,8.74,7.75,6.76,15.73,7.7,6.34,15.63,8.89,10.21,11.24
140,Bihar,Begusarai,12.08,12.04,14.71,13.94,15.48,15.7,,13.32,,,,,,,,,,,,,,,
141,Telangana,Komaram bheem asifabad,,,,,,,,,,,,,,,,,,,,15.7,,12,7.33
142,Bihar,Saran,5.04,13.38,10.34,14.43,10.8,15.7,,13.25,14.71,,,,,,,,,,,,,,
143,Bihar,Rohtas,12,,12.67,12.86,15.69,14.93,,14.79,14.54,,,,,,,,,,,,,,
144,Telangana,Jangoan,,,,,,,,,,,,,,,,,7.62,7.75,6.35,15.68,8.92,11.86,5.84
145,Telangana,Suryapet,,,,,,,,,,,,,,,,,8.4,7.73,6.33,15.67,9,11.53,9.08
146,Telangana,Yadadri,,,,,,,,,,,,,,,,,,,,15.67,8.86,11.67,
147,Telangana,Karimnagar,13.51,13.28,10.79,,7,8.5,9,,,,,,,,8,,,,6.33,15.67,8.9,11.63,7.25
148,Telangana,Mancherial,,,,,,,,,,,,,,,,,8.5,7.77,6.36,15.67,8.83,11.6,7.2
149,Bihar,Araria,11.36,11.26,12.36,14.51,12.04,15.66,,12.74,14.23,,,,,,,,,,,,,,
