State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Tripura,Dhalai,,,0.75,,,,,,,,,,,,,,,,,,,,
Tripura,Gomati,,,,,,,,,,,,,,,,,,,,0.67,,,
Tripura,Khowai,,,,,,,,,,,,,,,,,,,0.78,0.8,,,
Tripura,North Tripura,,,0.64,,,,,,,,,,,,,,,,0.73,,,,
Tripura,South Tripura,,,0.68,,,,,,,,,,,,,,,,,,,,
Tripura,Unakoti,,,,,,,,,,,,,,,,,,,,0.8,,,
Tripura,West Tripura,,,0.71,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Almora,0.4,0.41,,0.54,0.59,0.43,,0.43,1.0,0.73,0.42,,,,,,,1.0,,,,,
Uttarakhand,Bageshwar,,,0.47,0.5,,0.5,1.0,,,0.72,1.0,,0.4,,,,,,,,,,
Uttarakhand,Chamoli,0.5,0.4,0.5,0.46,0.61,0.43,0.5,0.5,0.45,0.29,0.46,,,0.5,0.53,0.55,,,0.5,1.0,0.5,,
Uttarakhand,Champawat,1.0,,,0.93,0.59,0.47,0.55,0.52,0.52,0.75,0.41,,1.0,,,,,,,,,,
Uttarakhand,Dehradun,0.7,0.71,0.67,0.63,0.63,0.5,0.53,0.3,0.74,0.33,0.59,1.16,0.47,0.47,0.48,0.5,0.62,0.5,1.29,,0.67,,
Uttarakhand,Haridwar,0.67,0.7,,,0.63,,0.53,0.34,0.78,0.33,0.78,0.79,0.48,0.5,0.5,0.56,0.8,0.71,0.75,0.67,0.73,0.69,0.69
Uttarakhand,Nainital,,,0.68,0.62,0.69,0.73,,0.33,0.62,0.59,0.83,1.18,0.54,0.59,,,,0.67,,0.71,1.0,0.68,0.67
Uttarakhand,Pauri Garhwal,,,,0.67,0.57,,0.2,0.5,0.5,0.5,0.46,,,,,,,,0.5,,0.5,,
Uttarakhand,Pithoragarh,,0.5,0.48,0.36,0.83,0.43,0.5,0.29,0.51,0.72,0.7,,0.75,0.63,0.67,0.67,1.0,,0.67,1.0,0.75,,
Uttarakhand,Rudra Prayag,,,,,0.57,0.5,,,0.75,,,,,,,0.5,,,,,0.67,,
Uttarakhand,Tehri Garhwal,,0.33,,0.39,0.5,0.42,,0.27,1.0,0.75,0.63,,1.0,0.5,0.67,,1.0,,0.75,,,,0.5
Uttarakhand,Udam Singh Nagar,0.74,0.81,0.69,0.75,0.6,0.7,1.0,1.0,0.69,0.56,0.79,1.14,0.53,0.43,0.67,0.67,1.0,0.7,,,,1.0,1.0
Uttarakhand,Uttar Kashi,,0.33,,0.6,0.67,0.47,,0.5,,1.0,,,0.2,0.53,0.5,,0.73,,,0.75,0.75,,
