state,district,year,moong_kharif_yield_tonne_per_hectare
,,2004 - 2005,0.54
,,2005 - 2006,0.55
,,2007 - 2008,0.79
,,2008 - 2009,0.67
,,2009 - 2010,0.67
,,2010 - 2011,0.65
,,2011 - 2012,0.85
,,2012 - 2013,0.97
,,2013 - 2014,0.98
,,2014 - 2015,0.9
,,2015 - 2016,0.67
,,2016 - 2017,0.89
,,2017 - 2018,2.61
,,2018 - 2019,0.62
,,2019 - 2020,0.67
,,2020 - 2021,0.71
,,2021 - 2022,0.85
,,2022 - 2023,0.9
,Aurangabad,2000 - 2001,0.43
,,2001 - 2002,0.68
,,2002 - 2003,0.32
,,2003 - 2004,0.67
,,2004 - 2005,0.4
,,2005 - 2006,0.33
,,2006 - 2007,0.71
,,2007 - 2008,0.8
,,2008 - 2009,0.55
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,0.6
,,2013 - 2014,0.61
,,2014 - 2015,
,,2015 - 2016,0.6
,,2016 - 2017,0.8
,,2017 - 2018,2.5
,,2018 - 2019,0.75
,,2019 - 2020,1.26
,,2020 - 2021,0.87
,,2021 - 2022,0.71
,,2022 - 2023,
,Banka,2000 - 2001,1.01
,,2001 - 2002,0.51
,,2002 - 2003,0.32
,,2003 - 2004,0.63
,,2004 - 2005,0.59
,,2005 - 2006,0.59
,,2006 - 2007,0.83
,,2007 - 2008,1.06
,,2008 - 2009,0.94
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.77
,,2012 - 2013,0.51
,,2013 - 2014,0.54
,,2014 - 2015,0.38
,,2015 - 2016,0.44
,,2016 - 2017,0.5
,,2017 - 2018,0.46
,,2018 - 2019,0.58
,,2019 - 2020,0.67
,,2020 - 2021,0.71
,,2021 - 2022,0.64
,,2022 - 2023,0.66
,Begusarai,2000 - 2001,0.8
,,2001 - 2002,0.92
,,2002 - 2003,0.5
,,2003 - 2004,0.57
,,2004 - 2005,0.58
,,2005 - 2006,0.59
,,2006 - 2007,0.63
,,2007 - 2008,0.66
,,2008 - 2009,0.56
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.6
,,2012 - 2013,0.65
,,2013 - 2014,0.68
,,2014 - 2015,0.72
,,2015 - 2016,0.65
,,2016 - 2017,0.7
,,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.8
,,2021 - 2022,1.03
,,2022 - 2023,1.1
,Bhagalpur,2000 - 2001,1.01
,,2001 - 2002,0.61
,,2002 - 2003,0.48
,,2003 - 2004,0.55
,,2004 - 2005,0.7
,,2005 - 2006,0.67
,,2006 - 2007,0.83
,,2007 - 2008,0.69
,,2008 - 2009,0.95
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.76
,,2012 - 2013,0.76
,,2013 - 2014,0.77
,,2014 - 2015,0.36
,,2015 - 2016,0.44
,,2016 - 2017,0.39
,,2017 - 2018,0.48
,,2018 - 2019,0.44
,,2019 - 2020,0.43
,,2020 - 2021,2.22
,,2021 - 2022,0.63
,,2022 - 2023,0.49
,Bhojpur,2000 - 2001,0.63
,,2001 - 2002,0.55
,,2002 - 2003,0.59
,,2003 - 2004,0.54
,,2004 - 2005,0.78
,,2005 - 2006,0.67
,,2006 - 2007,0.58
,,2007 - 2008,0.7
,,2008 - 2009,0.72
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.6
,,2012 - 2013,0.7
,,2013 - 2014,0.74
,,2014 - 2015,0.75
,,2015 - 2016,0.9
,,2016 - 2017,0.69
,,2017 - 2018,0.7
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Buxar,2000 - 2001,0.77
,,2001 - 2002,0.55
,,2002 - 2003,0.58
,,2003 - 2004,0.57
,,2004 - 2005,0.55
,,2005 - 2006,0.59
,,2006 - 2007,0.59
,,2007 - 2008,0.64
,,2008 - 2009,0.75
,,2009 - 2010,0.65
,,2010 - 2011,0.66
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.67
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,
,,2002 - 2003,0.53
,,2003 - 2004,0.51
,,2004 - 2005,0.39
,,2005 - 2006,0.63
,,2006 - 2007,0.69
,,2007 - 2008,0.18
,,2008 - 2009,0.73
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.62
,,2014 - 2015,0.62
,,2015 - 2016,0.62
,,2016 - 2017,0.62
,,2017 - 2018,0.7
,,2018 - 2019,0.52
,,2019 - 2020,0.55
,,2020 - 2021,0.47
,,2021 - 2022,0.58
,,2022 - 2023,0.66
,Gaya,2000 - 2001,0.41
,,2001 - 2002,0.67
,,2002 - 2003,0.38
,,2003 - 2004,0.61
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,0.76
,,2007 - 2008,0.81
,,2008 - 2009,0.71
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.78
,,2012 - 2013,0.71
,,2013 - 2014,0.73
,,2014 - 2015,0.76
,,2015 - 2016,0.65
,,2016 - 2017,0.74
,,2017 - 2018,2.62
,,2018 - 2019,0.82
,,2019 - 2020,1.28
,,2020 - 2021,0.89
,,2021 - 2022,0.78
,,2022 - 2023,0.54
,Gopalganj,2000 - 2001,0.06
,,2001 - 2002,0.6
,,2002 - 2003,0.0
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.67
,,2006 - 2007,
,,2007 - 2008,0.82
,,2008 - 2009,0.68
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.62
,,2012 - 2013,0.91
,,2013 - 2014,0.9
,,2014 - 2015,1.0
,,2015 - 2016,0.75
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamui,2000 - 2001,0.7
,,2001 - 2002,1.24
,,2002 - 2003,0.36
,,2003 - 2004,0.58
,,2004 - 2005,0.56
,,2005 - 2006,0.58
,,2006 - 2007,0.63
,,2007 - 2008,0.52
,,2008 - 2009,0.56
,,2009 - 2010,0.66
,,2010 - 2011,0.67
,,2011 - 2012,0.61
,,2012 - 2013,0.69
,,2013 - 2014,0.79
,,2014 - 2015,0.9
,,2015 - 2016,0.65
,,2016 - 2017,0.75
,,2017 - 2018,0.77
,,2018 - 2019,0.57
,,2019 - 2020,0.63
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.5
,Jehanabad,2000 - 2001,0.48
,,2001 - 2002,0.69
,,2002 - 2003,0.37
,,2003 - 2004,0.62
,,2004 - 2005,0.28
,,2005 - 2006,0.64
,,2006 - 2007,0.69
,,2007 - 2008,0.86
,,2008 - 2009,0.67
,,2009 - 2010,0.69
,,2010 - 2011,0.67
,,2011 - 2012,0.88
,,2012 - 2013,1.02
,,2013 - 2014,0.98
,,2014 - 2015,0.87
,,2015 - 2016,0.71
,,2016 - 2017,0.93
,,2017 - 2018,2.63
,,2018 - 2019,0.81
,,2019 - 2020,1.28
,,2020 - 2021,0.89
,,2021 - 2022,0.72
,,2022 - 2023,0.7
,Kaimur (bhabua),2000 - 2001,0.46
,,2002 - 2003,0.6
,,2003 - 2004,0.58
,,2004 - 2005,0.48
,,2005 - 2006,0.61
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.57
,,2009 - 2010,0.66
,,2010 - 2011,0.63
,,2011 - 2012,0.5
,,2012 - 2013,0.89
,,2013 - 2014,0.83
,,2014 - 2015,0.88
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.58
,,2020 - 2021,1.16
,,2021 - 2022,1.24
,,2022 - 2023,0.9
,Katihar,2000 - 2001,0.42
,,2001 - 2002,0.49
,,2002 - 2003,0.59
,,2003 - 2004,0.44
,,2004 - 2005,0.47
,,2005 - 2006,0.58
,,2006 - 2007,0.42
,,2007 - 2008,0.56
,,2008 - 2009,0.6
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.48
,,2012 - 2013,1.05
,,2013 - 2014,0.94
,,2014 - 2015,0.8
,,2015 - 2016,0.9
,,2016 - 2017,0.83
,,2017 - 2018,1.17
,,2018 - 2019,0.82
,,2019 - 2020,0.61
,,2020 - 2021,0.95
,,2021 - 2022,0.45
,,2022 - 2023,0.54
,Khagaria,2000 - 2001,0.65
,,2001 - 2002,0.89
,,2002 - 2003,0.46
,,2003 - 2004,0.56
,,2004 - 2005,0.58
,,2005 - 2006,0.61
,,2006 - 2007,0.57
,,2007 - 2008,0.68
,,2008 - 2009,0.73
,,2009 - 2010,0.67
,,2010 - 2011,0.65
,,2011 - 2012,0.6
,,2012 - 2013,0.62
,,2013 - 2014,0.68
,,2014 - 2015,0.73
,,2015 - 2016,0.68
,,2016 - 2017,0.76
,,2017 - 2018,0.74
,,2018 - 2019,0.58
,,2019 - 2020,0.63
,,2020 - 2021,0.92
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Kishanganj,2000 - 2001,0.46
,,2001 - 2002,0.41
,,2002 - 2003,0.59
,,2003 - 2004,0.64
,,2004 - 2005,0.4
,,2005 - 2006,0.59
,,2006 - 2007,0.49
,,2007 - 2008,0.46
,,2008 - 2009,0.44
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.11
,,2015 - 2016,0.76
,,2016 - 2017,0.97
,,2017 - 2018,0.44
,,2018 - 2019,0.3
,,2019 - 2020,0.52
,,2020 - 2021,0.61
,,2021 - 2022,0.45
,,2022 - 2023,0.54
,Lakhisarai,2000 - 2001,0.67
,,2002 - 2003,
,,2003 - 2004,0.56
,,2004 - 2005,0.67
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,0.63
,,2011 - 2012,0.5
,,2012 - 2013,0.6
,,2013 - 2014,0.79
,,2014 - 2015,0.9
,,2015 - 2016,0.68
,,2016 - 2017,0.83
,,2017 - 2018,0.77
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,
,,2002 - 2003,0.55
,,2003 - 2004,0.23
,,2004 - 2005,0.26
,,2005 - 2006,0.56
,,2006 - 2007,0.58
,,2007 - 2008,0.68
,,2008 - 2009,0.91
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.52
,,2012 - 2013,0.48
,,2013 - 2014,0.77
,,2014 - 2015,0.51
,,2015 - 2016,0.62
,,2016 - 2017,0.63
,,2017 - 2018,0.68
,,2018 - 2019,0.59
,,2019 - 2020,0.63
,,2020 - 2021,0.98
,,2021 - 2022,0.68
,,2022 - 2023,0.66
,Madhubani,2000 - 2001,0.52
,,2001 - 2002,0.31
,,2002 - 2003,0.54
,,2003 - 2004,0.5
,,2004 - 2005,0.51
,,2005 - 2006,0.66
,,2006 - 2007,0.68
,,2007 - 2008,0.65
,,2008 - 2009,0.75
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.68
,,2012 - 2013,0.22
,,2013 - 2014,0.9
,,2014 - 2015,0.66
,,2015 - 2016,0.66
,,2016 - 2017,1.0
,,2017 - 2018,0.83
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.48
,,2021 - 2022,0.59
,,2022 - 2023,0.62
,Munger,2000 - 2001,0.64
,,2001 - 2002,0.84
,,2002 - 2003,0.36
,,2003 - 2004,0.53
,,2004 - 2005,0.57
,,2005 - 2006,0.59
,,2006 - 2007,0.63
,,2007 - 2008,0.54
,,2008 - 2009,0.57
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.61
,,2012 - 2013,0.69
,,2013 - 2014,0.78
,,2014 - 2015,0.9
,,2015 - 2016,0.7
,,2016 - 2017,0.82
,,2017 - 2018,0.78
,,2018 - 2019,0.57
,,2019 - 2020,0.63
,,2020 - 2021,1.0
,,2021 - 2022,0.68
,,2022 - 2023,0.45
,Muzaffarpur,2000 - 2001,0.86
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.39
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,0.57
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,0.71
,,2001 - 2002,0.61
,,2002 - 2003,0.64
,,2003 - 2004,0.56
,,2004 - 2005,0.64
,,2005 - 2006,0.56
,,2006 - 2007,0.58
,,2007 - 2008,0.55
,,2008 - 2009,0.66
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.61
,,2012 - 2013,0.91
,,2013 - 2014,0.88
,,2014 - 2015,0.89
,,2015 - 2016,0.92
,,2016 - 2017,0.75
,,2017 - 2018,0.69
,,2018 - 2019,0.48
,,2019 - 2020,0.58
,,2020 - 2021,1.17
,,2021 - 2022,1.25
,,2022 - 2023,0.91
,Nawada,2000 - 2001,0.54
,,2001 - 2002,0.67
,,2002 - 2003,0.36
,,2003 - 2004,0.63
,,2004 - 2005,0.23
,,2005 - 2006,0.46
,,2006 - 2007,0.56
,,2007 - 2008,0.8
,,2008 - 2009,0.61
,,2009 - 2010,0.67
,,2010 - 2011,0.65
,,2011 - 2012,0.82
,,2012 - 2013,0.94
,,2013 - 2014,0.71
,,2014 - 2015,0.83
,,2015 - 2016,0.62
,,2016 - 2017,0.83
,,2017 - 2018,2.09
,,2018 - 2019,0.77
,,2019 - 2020,1.05
,,2020 - 2021,0.83
,,2021 - 2022,0.67
,,2022 - 2023,0.84
,Pashchim champaran,2000 - 2001,0.81
,,2001 - 2002,0.64
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.74
,,2005 - 2006,0.73
,,2006 - 2007,
,,2007 - 2008,0.87
,,2008 - 2009,0.86
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.56
,,2012 - 2013,0.47
,,2013 - 2014,0.55
,,2014 - 2015,0.5
,,2015 - 2016,0.57
,,2016 - 2017,0.67
,,2017 - 2018,0.8
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,1.0
,,2021 - 2022,0.7
,,2022 - 2023,
,Patna,2000 - 2001,0.63
,,2001 - 2002,0.56
,,2002 - 2003,0.52
,,2003 - 2004,0.53
,,2004 - 2005,0.33
,,2005 - 2006,0.54
,,2006 - 2007,0.59
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.65
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,0.1
,,2002 - 2003,0.56
,,2003 - 2004,0.6
,,2004 - 2005,0.33
,,2005 - 2006,0.4
,,2006 - 2007,0.51
,,2007 - 2008,0.54
,,2008 - 2009,0.57
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.47
,,2012 - 2013,0.42
,,2013 - 2014,0.3
,,2014 - 2015,0.49
,,2015 - 2016,0.7
,,2016 - 2017,0.82
,,2017 - 2018,0.77
,,2018 - 2019,0.57
,,2019 - 2020,0.64
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Purnia,2000 - 2001,0.44
,,2001 - 2002,0.47
,,2002 - 2003,0.68
,,2003 - 2004,0.44
,,2004 - 2005,0.74
,,2005 - 2006,0.65
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,,2008 - 2009,0.52
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.56
,,2012 - 2013,1.0
,,2013 - 2014,0.88
,,2014 - 2015,0.41
,,2015 - 2016,0.59
,,2016 - 2017,0.97
,,2017 - 2018,0.49
,,2018 - 2019,
,,2019 - 2020,0.95
,,2020 - 2021,0.62
,,2021 - 2022,0.45
,,2022 - 2023,0.58
,Rohtas,2000 - 2001,0.82
,,2001 - 2002,0.55
,,2002 - 2003,0.61
,,2003 - 2004,0.56
,,2004 - 2005,0.38
,,2005 - 2006,0.54
,,2006 - 2007,0.58
,,2007 - 2008,0.52
,,2008 - 2009,0.58
,,2009 - 2010,0.67
,,2010 - 2011,0.66
,,2011 - 2012,0.61
,,2012 - 2013,0.9
,,2013 - 2014,0.73
,,2014 - 2015,0.83
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saharsa,2000 - 2001,
,,2002 - 2003,0.5
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.63
,,2013 - 2014,0.88
,,2014 - 2015,0.43
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,0.68
,,2001 - 2002,0.45
,,2002 - 2003,0.55
,,2003 - 2004,0.49
,,2004 - 2005,0.31
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.04
,,2008 - 2009,0.56
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.64
,,2012 - 2013,0.22
,,2013 - 2014,0.9
,,2014 - 2015,0.69
,,2015 - 2016,0.69
,,2016 - 2017,0.65
,,2017 - 2018,0.75
,,2018 - 2019,0.44
,,2019 - 2020,0.46
,,2020 - 2021,0.42
,,2021 - 2022,0.58
,,2022 - 2023,0.65
,Saran,2000 - 2001,
,,2002 - 2003,0.5
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,0.58
,,2006 - 2007,0.67
,,2007 - 2008,0.57
,,2008 - 2009,0.56
,,2009 - 2010,0.65
,,2010 - 2011,
,,2011 - 2012,0.71
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.67
,,2015 - 2016,0.7
,,2016 - 2017,0.83
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,
,Sheikhpura,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.5
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,0.67
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.69
,,2016 - 2017,0.8
,,2017 - 2018,0.77
,,2018 - 2019,0.57
,,2019 - 2020,0.67
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,
,Sheohar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.67
,,2010 - 2011,0.66
,,2011 - 2012,0.52
,,2012 - 2013,0.39
,,2013 - 2014,0.3
,,2014 - 2015,0.49
,,2015 - 2016,0.7
,,2016 - 2017,0.72
,,2017 - 2018,0.69
,,2018 - 2019,0.59
,,2019 - 2020,0.62
,,2020 - 2021,0.8
,,2021 - 2022,0.67
,,2022 - 2023,0.65
,Sitamarhi,2000 - 2001,0.56
,,2001 - 2002,0.58
,,2002 - 2003,0.54
,,2003 - 2004,0.57
,,2004 - 2005,0.38
,,2005 - 2006,0.44
,,2006 - 2007,0.5
,,2007 - 2008,0.72
,,2008 - 2009,0.7
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.57
,,2012 - 2013,0.39
,,2013 - 2014,0.32
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siwan,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2003 - 2004,0.4
,,2004 - 2005,0.38
,,2005 - 2006,0.54
,,2006 - 2007,0.56
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,0.63
,,2015 - 2016,0.63
,,2016 - 2017,0.63
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Supaul,2000 - 2001,0.43
,,2001 - 2002,0.78
,,2002 - 2003,0.55
,,2003 - 2004,0.23
,,2004 - 2005,0.29
,,2005 - 2006,0.54
,,2006 - 2007,0.58
,,2007 - 2008,0.52
,,2008 - 2009,1.22
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.53
,,2012 - 2013,0.73
,,2013 - 2014,0.9
,,2014 - 2015,0.61
,,2015 - 2016,0.62
,,2016 - 2017,0.8
,,2017 - 2018,0.73
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,0.68
,,2022 - 2023,0.66
,Vaishali,2000 - 2001,0.86
,,2001 - 2002,0.5
,,2002 - 2003,0.6
,,2003 - 2004,0.53
,,2004 - 2005,0.68
,,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,0.83
,,2008 - 2009,0.82
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.6
,,2012 - 2013,0.38
,,2013 - 2014,0.33
,,2014 - 2015,0.58
,,2015 - 2016,0.68
,,2016 - 2017,0.76
,,2017 - 2018,0.75
,,2018 - 2019,0.6
,,2019 - 2020,0.62
,,2020 - 2021,1.0
,,2021 - 2022,0.63
,,2022 - 2023,0.71
Chandigarh,Chandigarh,2000 - 2001,1.0
Chhattisgarh,Balod,2011 - 2012,0.26
,,2012 - 2013,0.22
,,2013 - 2014,0.23
,,2014 - 2015,0.24
,,2015 - 2016,0.36
,,2016 - 2017,0.46
,,2017 - 2018,0.46
,,2018 - 2019,0.54
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Baloda bazar,2011 - 2012,0.21
,,2012 - 2013,0.27
,,2013 - 2014,0.25
,,2014 - 2015,0.27
,,2015 - 2016,0.33
,,2016 - 2017,0.36
,,2017 - 2018,0.37
,,2018 - 2019,0.36
,,2019 - 2020,0.41
,,2020 - 2021,0.51
,,2021 - 2022,0.44
,,2022 - 2023,0.63
,Balrampur,2011 - 2012,0.19
,,2012 - 2013,0.22
,,2013 - 2014,0.1
,,2014 - 2015,0.17
,,2015 - 2016,0.47
,,2016 - 2017,0.48
,,2017 - 2018,0.42
,,2018 - 2019,0.46
,,2019 - 2020,0.46
,,2020 - 2021,0.45
,,2021 - 2022,0.43
,,2022 - 2023,1.0
,Bastar,2000 - 2001,0.45
,,2001 - 2002,0.46
,,2002 - 2003,0.26
,,2003 - 2004,0.41
,,2004 - 2005,0.42
,,2005 - 2006,0.43
,,2006 - 2007,0.43
,,2007 - 2008,0.44
,,2008 - 2009,0.36
,,2009 - 2010,0.34
,,2010 - 2011,0.4
,,2011 - 2012,0.42
,,2012 - 2013,0.42
,,2013 - 2014,0.43
,,2014 - 2015,0.38
,,2015 - 2016,0.55
,,2016 - 2017,0.64
,,2017 - 2018,0.7
,,2018 - 2019,0.66
,,2019 - 2020,0.61
,,2020 - 2021,0.63
,,2021 - 2022,
,,2022 - 2023,1.0
,Bemetara,2011 - 2012,0.2
,,2012 - 2013,0.22
,,2013 - 2014,0.24
,,2014 - 2015,0.3
,,2015 - 2016,0.43
,,2016 - 2017,0.4
,,2017 - 2018,0.47
,,2018 - 2019,0.45
,,2019 - 2020,0.47
,,2020 - 2021,0.33
,,2021 - 2022,0.44
,,2022 - 2023,0.45
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.36
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.36
,,2011 - 2012,0.27
,,2012 - 2013,0.39
,,2013 - 2014,0.42
,,2014 - 2015,0.32
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.46
,,2018 - 2019,0.49
,,2019 - 2020,0.53
,,2020 - 2021,0.42
,,2021 - 2022,0.44
,,2022 - 2023,0.45
,Bilaspur,2000 - 2001,0.16
,,2001 - 2002,0.22
,,2002 - 2003,0.18
,,2003 - 2004,0.22
,,2004 - 2005,0.21
,,2005 - 2006,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.23
,,2008 - 2009,0.22
,,2009 - 2010,0.26
,,2010 - 2011,0.24
,,2011 - 2012,0.23
,,2012 - 2013,0.26
,,2013 - 2014,0.25
,,2014 - 2015,0.26
,,2015 - 2016,0.2
,,2016 - 2017,0.26
,,2017 - 2018,0.23
,,2018 - 2019,0.23
,,2019 - 2020,0.25
,,2020 - 2021,0.0
,,2021 - 2022,0.4
,,2022 - 2023,0.33
,Dantewada,2000 - 2001,0.34
,,2001 - 2002,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.32
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.36
,,2008 - 2009,0.34
,,2009 - 2010,0.28
,,2010 - 2011,0.36
,,2011 - 2012,0.27
,,2012 - 2013,0.39
,,2013 - 2014,0.42
,,2014 - 2015,0.41
,,2015 - 2016,0.3
,,2016 - 2017,0.44
,,2017 - 2018,0.37
,,2018 - 2019,0.33
,,2019 - 2020,0.39
,,2020 - 2021,0.44
,,2021 - 2022,0.37
,,2022 - 2023,0.4
,Dhamtari,2000 - 2001,0.17
,,2001 - 2002,0.23
,,2002 - 2003,0.2
,,2003 - 2004,0.23
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.2
,,2007 - 2008,0.22
,,2008 - 2009,0.23
,,2009 - 2010,0.25
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.26
,,2013 - 2014,0.26
,,2014 - 2015,0.25
,,2015 - 2016,0.57
,,2016 - 2017,0.56
,,2017 - 2018,0.57
,,2018 - 2019,0.56
,,2019 - 2020,0.56
,,2020 - 2021,0.58
,,2021 - 2022,0.58
,,2022 - 2023,0.58
,Durg,2000 - 2001,0.15
,,2001 - 2002,0.23
,,2002 - 2003,0.23
,,2003 - 2004,0.22
,,2004 - 2005,0.26
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.23
,,2009 - 2010,0.21
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.27
,,2013 - 2014,0.27
,,2014 - 2015,0.28
,,2015 - 2016,0.31
,,2016 - 2017,0.31
,,2017 - 2018,0.28
,,2018 - 2019,0.21
,,2019 - 2020,0.29
,,2020 - 2021,0.33
,,2021 - 2022,0.38
,,2022 - 2023,0.33
,Gariyaband,2011 - 2012,0.21
