state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2001 - 2002,7.38
,,2002 - 2003,10.16
,,2003 - 2004,13.77
,,2004 - 2005,15.9
,,2005 - 2006,16.25
,,2007 - 2008,13.13
,,2008 - 2009,
,Gaya,2000 - 2001,12.15
,,2002 - 2003,10.57
,,2003 - 2004,8.55
,,2004 - 2005,10.25
,,2005 - 2006,15.93
,,2007 - 2008,13.0
,,2008 - 2009,
,Gopalganj,2000 - 2001,5.36
,,2001 - 2002,13.16
,,2002 - 2003,9.92
,,2003 - 2004,14.26
,,2004 - 2005,10.14
,,2005 - 2006,15.15
,,2007 - 2008,13.33
,Jehanabad,2000 - 2001,12.0
,,2001 - 2002,9.0
,,2002 - 2003,11.64
,,2003 - 2004,11.6
,,2004 - 2005,14.0
