state,district,year,sunflower_kharif_yield_tonne_per_hectare
,,2012 - 2013,1.8
,,2013 - 2014,1.8
,,2014 - 2015,1.78
,,2015 - 2016,1.78
,,2016 - 2017,1.78
,,2017 - 2018,1.66
,,2018 - 2019,2.5
,Medinipur west,2000 - 2001,2.67
,,2001 - 2002,0.15
,,2002 - 2003,0.15
,,2003 - 2004,1.1
,,2004 - 2005,0.99
,,2005 - 2006,1.42
,,2006 - 2007,1.48
,,2007 - 2008,1.6
,,2008 - 2009,1.3
,,2009 - 2010,0.65
,,2010 - 2011,0.78
,,2011 - 2012,1.72
,,2012 - 2013,1.41
,,2013 - 2014,1.39
,,2014 - 2015,1.52
,,2015 - 2016,1.57
,,2016 - 2017,1.58
,,2017 - 2018,1.09
,,2018 - 2019,1.17
,,2019 - 2020,1.14
,,2020 - 2021,1.3
,,2021 - 2022,1.06
,Murshidabad,2003 - 2004,0.4
,,2004 - 2005,1.51
,,2005 - 2006,1.58
,,2006 - 2007,1.69
,,2007 - 2008,1.14
,,2008 - 2009,1.08
,,2009 - 2010,0.7
,,2010 - 2011,1.11
,,2011 - 2012,1.09
,,2012 - 2013,1.13
,,2013 - 2014,1.02
,,2014 - 2015,1.07
,,2015 - 2016,1.08
,,2016 - 2017,1.09
,,2017 - 2018,0.95
,Nadia,2001 - 2002,1.33
,,2002 - 2003,1.68
,,2003 - 2004,0.92
,,2004 - 2005,1.53
,,2005 - 2006,1.57
,,2006 - 2007,1.55
,,2007 - 2008,1.54
,,2008 - 2009,1.52
,,2009 - 2010,1.0
,,2010 - 2011,1.53
,,2011 - 2012,1.5
,,2012 - 2013,1.58
,,2015 - 2016,1.5
,,2016 - 2017,1.55
,,2017 - 2018,1.9
,,2018 - 2019,1.4
,,2019 - 2020,1.41
,,2020 - 2021,1.77
,,2021 - 2022,1.77
,,2022 - 2023,1.8
,Paschim bardhaman,2018 - 2019,1.0
,,2019 - 2020,0.99
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,Purba bardhaman,2002 - 2003,1.05
,,2003 - 2004,0.83
,,2004 - 2005,1.07
,,2005 - 2006,1.84
,,2006 - 2007,1.5
,,2007 - 2008,1.84
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.73
,,2011 - 2012,1.66
,,2012 - 2013,1.36
,,2013 - 2014,1.52
,,2014 - 2015,1.46
,,2015 - 2016,1.43
,,2016 - 2017,1.44
,,2017 - 2018,1.4
,,2018 - 2019,1.16
,,2019 - 2020,1.38
,,2020 - 2021,1.03
,,2021 - 2022,1.2
,,2022 - 2023,1.0
,Purulia,2003 - 2004,0.48
,,2005 - 2006,0.73
,,2006 - 2007,0.73
,,2007 - 2008,0.73
,,2008 - 2009,0.58
,,2009 - 2010,1.55
,,2010 - 2011,1.08
,,2011 - 2012,0.95
,,2012 - 2013,0.83
,,2013 - 2014,0.93
,,2014 - 2015,0.91
,,2015 - 2016,0.94
,,2016 - 2017,0.9
,,2017 - 2018,0.91
,,2018 - 2019,0.75
,,2019 - 2020,1.16
,,2020 - 2021,1.15
,,2021 - 2022,1.2
,,2022 - 2023,1.18
