state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2019 - 2020,0.84
,,2020 - 2021,0.68
,,2021 - 2022,0.7
,,2022 - 2023,0.76
,Hassan,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,0.75
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Haveri,2000 - 2001,0.56
,,2001 - 2002,0.54
,,2002 - 2003,0.44
,,2003 - 2004,0.29
,,2004 - 2005,0.9
,,2005 - 2006,0.73
,,2006 - 2007,0.68
,,2007 - 2008,0.85
,,2008 - 2009,0.73
,,2009 - 2010,0.73
,,2010 - 2011,0.41
,,2011 - 2012,1.0
,,2012 - 2013,0.7
,,2013 - 2014,0.86
,,2014 - 2015,1.15
,,2015 - 2016,0.29
,,2016 - 2017,0.5
,,2017 - 2018,0.58
,,2018 - 2019,0.73
,,2019 - 2020,0.64
,,2020 - 2021,0.79
,,2021 - 2022,0.88
,,2022 - 2023,0.5
,Kolar,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Koppal,2000 - 2001,0.73
,,2001 - 2002,0.79
,,2002 - 2003,0.34
,,2003 - 2004,0.23
,,2004 - 2005,0.38
,,2005 - 2006,0.44
,,2006 - 2007,0.24
,,2007 - 2008,0.61
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.79
,,2011 - 2012,0.58
,,2012 - 2013,0.69
,,2013 - 2014,0.96
,,2014 - 2015,1.26
,,2015 - 2016,0.23
,,2016 - 2017,0.07
,,2017 - 2018,0.55
,,2018 - 2019,0.31
,,2019 - 2020,0.55
,,2020 - 2021,0.48
,,2021 - 2022,0.66
,,2022 - 2023,0.53
,Mandya,2018 - 2019,0.67
,,2019 - 2020,0.89
,,2020 - 2021,0.7
,,2021 - 2022,0.86
,Mysore,2018 - 2019,0.57
,,2019 - 2020,0.9
,,2020 - 2021,0.63
,,2021 - 2022,0.67
,Raichur,2000 - 2001,0.88
,,2001 - 2002,0.9
,,2002 - 2003,0.61
,,2003 - 2004,0.56
,,2004 - 2005,0.28
,,2005 - 2006,0.92
,,2006 - 2007,0.75
,,2007 - 2008,1.1
,,2008 - 2009,0.77
,,2009 - 2010,0.57
,,2010 - 2011,0.84
,,2011 - 2012,0.66
,,2012 - 2013,0.44
,,2013 - 2014,0.87
,,2014 - 2015,0.84
,,2015 - 2016,0.4
,,2016 - 2017,0.2
,,2017 - 2018,0.56
,,2018 - 2019,0.22
,,2019 - 2020,0.75
,,2020 - 2021,0.66
,,2021 - 2022,0.81
,,2022 - 2023,0.9
,Ramanagara,2018 - 2019,0.67
,,2019 - 2020,1.0
