state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2008 - 2009,1.79
,,2009 - 2010,1.87
,,2010 - 2011,1.74
,,2011 - 2012,2.53
,,2012 - 2013,2.47
,,2013 - 2014,2.07
,,2014 - 2015,1.7
,,2015 - 2016,2.21
,,2016 - 2017,2.64
,,2017 - 2018,2.33
,,2018 - 2019,2.61
,,2019 - 2020,2.26
,,2020 - 2021,2.39
,,2021 - 2022,2.78
,,2022 - 2023,2.61
,Aurangabad,2000 - 2001,2.04
,,2001 - 2002,1.98
,,2002 - 2003,2.12
,,2003 - 2004,2.07
,,2004 - 2005,1.42
,,2005 - 2006,1.16
,,2006 - 2007,2.03
,,2007 - 2008,1.89
,,2008 - 2009,1.12
,,2009 - 2010,1.49
,,2010 - 2011,2.01
,,2011 - 2012,2.26
,,2012 - 2013,2.15
,,2013 - 2014,3.01
,,2014 - 2015,2.02
,,2015 - 2016,2.28
,,2016 - 2017,2.33
,,2017 - 2018,2.52
,,2018 - 2019,2.6
,,2019 - 2020,2.11
,,2020 - 2021,2.27
,,2021 - 2022,2.61
,,2022 - 2023,2.36
,Banka,2000 - 2001,1.31
,,2001 - 2002,1.56
,,2002 - 2003,1.41
,,2003 - 2004,1.55
,,2004 - 2005,1.29
,,2005 - 2006,1.19
,,2006 - 2007,1.85
,,2007 - 2008,2.45
,,2008 - 2009,2.79
,,2009 - 2010,1.86
,,2010 - 2011,1.8
,,2011 - 2012,3.04
,,2012 - 2013,2.55
,,2013 - 2014,2.7
,,2014 - 2015,1.77
,,2015 - 2016,2.52
,,2016 - 2017,2.68
,,2017 - 2018,2.74
,,2018 - 2019,2.89
,,2019 - 2020,2.22
,,2020 - 2021,2.5
,,2021 - 2022,2.47
,,2022 - 2023,2.55
,Begusarai,2000 - 2001,2.39
,,2001 - 2002,1.92
,,2002 - 2003,1.84
,,2003 - 2004,1.94
,,2004 - 2005,1.68
,,2005 - 2006,1.74
,,2006 - 2007,2.17
,,2007 - 2008,2.25
,,2008 - 2009,1.97
,,2009 - 2010,1.9
,,2010 - 2011,2.66
,,2011 - 2012,3.76
,,2012 - 2013,2.93
,,2013 - 2014,3.37
,,2014 - 2015,1.19
,,2015 - 2016,2.31
,,2016 - 2017,3.78
,,2017 - 2018,3.49
,,2018 - 2019,3.78
,,2019 - 2020,3.74
,,2020 - 2021,3.64
,,2021 - 2022,3.69
,,2022 - 2023,3.84
,Bhagalpur,2000 - 2001,2.08
,,2001 - 2002,1.62
,,2002 - 2003,1.49
,,2003 - 2004,1.77
,,2004 - 2005,1.29
,,2005 - 2006,1.2
,,2006 - 2007,1.67
,,2007 - 2008,2.01
,,2008 - 2009,1.91
,,2009 - 2010,2.12
,,2010 - 2011,2.58
,,2011 - 2012,3.11
,,2012 - 2013,2.43
,,2013 - 2014,2.71
,,2014 - 2015,1.14
,,2015 - 2016,3.09
,,2016 - 2017,3.38
,,2017 - 2018,3.29
,,2018 - 2019,3.27
,,2019 - 2020,2.85
,,2020 - 2021,3.21
,,2021 - 2022,3.33
,,2022 - 2023,2.85
,Bhojpur,2000 - 2001,2.55
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,,2003 - 2004,2.43
,,2004 - 2005,1.83
,,2005 - 2006,2.59
,,2006 - 2007,2.53
,,2007 - 2008,3.29
,,2008 - 2009,2.72
,,2009 - 2010,3.33
,,2010 - 2011,2.6
,,2011 - 2012,3.02
,,2012 - 2013,2.59
,,2013 - 2014,2.83
,,2014 - 2015,1.83
,,2015 - 2016,2.44
,,2016 - 2017,3.31
,,2017 - 2018,2.98
,,2018 - 2019,3.58
,,2019 - 2020,2.48
,,2020 - 2021,3.13
,,2021 - 2022,2.82
,,2022 - 2023,3.12
,Buxar,2000 - 2001,2.88
,,2001 - 2002,2.44
,,2002 - 2003,2.72
,,2003 - 2004,2.76
,,2004 - 2005,1.87
,,2005 - 2006,1.96
,,2006 - 2007,2.03
,,2007 - 2008,2.96
,,2008 - 2009,2.85
,,2009 - 2010,2.25
,,2010 - 2011,2.93
,,2011 - 2012,3.04
,,2012 - 2013,2.72
,,2013 - 2014,2.99
,,2014 - 2015,1.58
,,2015 - 2016,2.71
,,2016 - 2017,3.37
,,2017 - 2018,3.46
,,2018 - 2019,3.31
,,2019 - 2020,2.74
,,2020 - 2021,3.36
,,2021 - 2022,3.59
,,2022 - 2023,3.37
,Darbhanga,2000 - 2001,1.65
,,2001 - 2002,1.11
,,2002 - 2003,1.5
,,2003 - 2004,1.32
,,2004 - 2005,1.72
,,2005 - 2006,1.12
,,2006 - 2007,1.88
,,2007 - 2008,2.68
,,2008 - 2009,2.31
,,2009 - 2010,2.11
,,2010 - 2011,2.34
,,2011 - 2012,3.71
,,2012 - 2013,2.41
,,2013 - 2014,2.63
,,2014 - 2015,1.5
,,2015 - 2016,2.91
,,2016 - 2017,2.51
,,2017 - 2018,3.0
,,2018 - 2019,2.51
,,2019 - 2020,2.38
,,2020 - 2021,2.73
,,2021 - 2022,2.44
,,2022 - 2023,2.26
,Gaya,2000 - 2001,1.84
,,2001 - 2002,2.84
,,2002 - 2003,2.01
,,2003 - 2004,2.01
,,2004 - 2005,1.12
,,2005 - 2006,1.19
,,2006 - 2007,2.13
,,2007 - 2008,2.39
,,2008 - 2009,2.2
,,2009 - 2010,2.19
,,2010 - 2011,2.2
,,2011 - 2012,2.78
,,2012 - 2013,2.46
,,2013 - 2014,1.91
,,2014 - 2015,2.47
,,2015 - 2016,2.46
,,2016 - 2017,2.77
,,2017 - 2018,3.22
,,2018 - 2019,2.78
,,2019 - 2020,1.72
,,2020 - 2021,2.76
,,2021 - 2022,2.75
,,2022 - 2023,2.74
,Gopalganj,2000 - 2001,2.47
,,2001 - 2002,3.29
,,2002 - 2003,1.87
,,2003 - 2004,2.34
,,2004 - 2005,1.37
,,2005 - 2006,1.62
,,2006 - 2007,2.5
,,2007 - 2008,1.93
,,2008 - 2009,1.56
,,2009 - 2010,2.02
,,2010 - 2011,3.39
,,2011 - 2012,3.29
,,2012 - 2013,3.44
,,2013 - 2014,3.19
,,2014 - 2015,0.97
,,2015 - 2016,2.27
,,2016 - 2017,3.4
,,2017 - 2018,2.6
,,2018 - 2019,2.61
,,2019 - 2020,2.92
,,2020 - 2021,3.07
,,2021 - 2022,3.3
,,2022 - 2023,2.91
,Jamui,2000 - 2001,1.11
,,2001 - 2002,1.36
,,2002 - 2003,1.15
,,2003 - 2004,1.3
,,2004 - 2005,1.15
,,2005 - 2006,0.98
,,2006 - 2007,1.5
,,2007 - 2008,1.76
,,2008 - 2009,0.93
,,2009 - 2010,0.99
,,2010 - 2011,1.5
,,2011 - 2012,2.73
,,2012 - 2013,2.09
,,2013 - 2014,2.01
,,2014 - 2015,1.17
,,2015 - 2016,1.51
,,2016 - 2017,2.23
,,2017 - 2018,2.46
,,2018 - 2019,2.11
,,2019 - 2020,1.9
,,2020 - 2021,1.65
,,2021 - 2022,2.32
,,2022 - 2023,1.98
,Jehanabad,2000 - 2001,1.87
,,2001 - 2002,2.15
,,2002 - 2003,2.36
,,2003 - 2004,2.47
,,2004 - 2005,1.94
,,2005 - 2006,1.47
,,2006 - 2007,2.2
,,2007 - 2008,2.36
,,2008 - 2009,2.21
,,2009 - 2010,1.91
,,2010 - 2011,1.97
,,2011 - 2012,3.69
,,2012 - 2013,3.39
,,2013 - 2014,2.86
,,2014 - 2015,2.86
,,2015 - 2016,2.64
,,2016 - 2017,1.97
,,2017 - 2018,2.49
,,2018 - 2019,3.32
,,2019 - 2020,2.83
,,2020 - 2021,3.1
,,2021 - 2022,3.16
,,2022 - 2023,3.17
,Kaimur (bhabua),2000 - 2001,2.46
,,2001 - 2002,2.52
,,2002 - 2003,2.66
,,2003 - 2004,2.26
,,2004 - 2005,1.63
,,2005 - 2006,2.01
,,2006 - 2007,2.16
,,2007 - 2008,2.12
,,2008 - 2009,2.15
,,2009 - 2010,2.35
,,2010 - 2011,2.41
,,2011 - 2012,3.01
,,2012 - 2013,2.49
,,2013 - 2014,2.05
,,2014 - 2015,2.23
,,2015 - 2016,2.28
,,2016 - 2017,2.17
,,2017 - 2018,2.36
,,2018 - 2019,2.97
,,2019 - 2020,2.54
,,2020 - 2021,3.05
,,2021 - 2022,3.46
,,2022 - 2023,3.26
,Katihar,2000 - 2001,2.19
,,2001 - 2002,1.75
,,2002 - 2003,1.6
,,2003 - 2004,1.2
,,2004 - 2005,1.18
,,2005 - 2006,0.46
,,2006 - 2007,1.26
,,2007 - 2008,1.69
,,2008 - 2009,1.76
,,2009 - 2010,1.95
,,2010 - 2011,3.06
,,2011 - 2012,2.92
,,2012 - 2013,3.34
,,2013 - 2014,3.19
,,2014 - 2015,1.77
,,2015 - 2016,2.61
,,2016 - 2017,2.44
,,2017 - 2018,2.71
,,2018 - 2019,2.95
,,2019 - 2020,2.65
,,2020 - 2021,2.69
,,2021 - 2022,2.95
,,2022 - 2023,2.93
,Khagaria,2000 - 2001,1.78
,,2001 - 2002,1.45
,,2002 - 2003,1.29
,,2003 - 2004,1.51
,,2004 - 2005,1.72
,,2005 - 2006,1.63
,,2006 - 2007,1.48
,,2007 - 2008,2.14
,,2008 - 2009,0.78
,,2009 - 2010,3.7
,,2010 - 2011,1.72
,,2011 - 2012,3.81
,,2012 - 2013,3.02
,,2013 - 2014,3.23
,,2014 - 2015,1.12
,,2015 - 2016,2.8
,,2016 - 2017,3.04
,,2017 - 2018,3.41
,,2018 - 2019,3.4
,,2019 - 2020,3.12
,,2020 - 2021,3.01
,,2021 - 2022,3.76
,,2022 - 2023,3.96
,Kishanganj,2000 - 2001,1.59
,,2001 - 2002,1.57
,,2002 - 2003,1.64
,,2003 - 2004,0.82
,,2004 - 2005,1.33
,,2005 - 2006,0.74
,,2006 - 2007,1.29
,,2007 - 2008,1.02
,,2008 - 2009,1.2
,,2009 - 2010,1.24
,,2010 - 2011,1.22
,,2011 - 2012,1.53
,,2012 - 2013,1.87
,,2013 - 2014,2.85
,,2014 - 2015,1.18
,,2015 - 2016,2.59
,,2016 - 2017,2.21
,,2017 - 2018,1.86
,,2018 - 2019,2.66
,,2019 - 2020,2.0
,,2020 - 2021,2.74
,,2021 - 2022,2.15
,,2022 - 2023,2.24
,Lakhisarai,2000 - 2001,2.2
,,2001 - 2002,1.5
,,2002 - 2003,2.26
,,2003 - 2004,2.14
,,2004 - 2005,1.29
,,2005 - 2006,1.64
,,2006 - 2007,2.46
,,2007 - 2008,2.64
,,2008 - 2009,1.82
,,2009 - 2010,1.87
,,2010 - 2011,1.76
,,2011 - 2012,2.5
,,2012 - 2013,2.9
,,2013 - 2014,3.28
,,2014 - 2015,2.27
,,2015 - 2016,2.36
,,2016 - 2017,3.03
,,2017 - 2018,2.97
,,2018 - 2019,2.96
,,2019 - 2020,2.92
,,2020 - 2021,3.09
,,2021 - 2022,3.46
,,2022 - 2023,3.51
,Madhepura,2000 - 2001,2.35
,,2001 - 2002,1.91
,,2002 - 2003,1.63
,,2003 - 2004,1.04
,,2004 - 2005,1.84
,,2005 - 2006,0.99
,,2006 - 2007,1.45
,,2007 - 2008,1.61
,,2008 - 2009,2.22
,,2009 - 2010,2.47
,,2010 - 2011,1.93
,,2011 - 2012,3.3
,,2012 - 2013,2.53
,,2013 - 2014,2.87
,,2014 - 2015,2.3
,,2015 - 2016,2.93
,,2016 - 2017,3.18
,,2017 - 2018,3.61
,,2018 - 2019,3.8
,,2019 - 2020,3.27
,,2020 - 2021,3.03
,,2021 - 2022,3.01
,,2022 - 2023,3.4
,Madhubani,2000 - 2001,1.54
,,2001 - 2002,1.32
,,2002 - 2003,1.31
,,2003 - 2004,0.79
,,2004 - 2005,0.81
,,2005 - 2006,0.68
,,2006 - 2007,1.6
,,2007 - 2008,1.84
,,2008 - 2009,1.58
,,2009 - 2010,2.13
,,2010 - 2011,2.37
,,2011 - 2012,2.17
,,2012 - 2013,2.07
,,2013 - 2014,2.12
,,2014 - 2015,0.79
,,2015 - 2016,1.42
,,2016 - 2017,1.91
,,2017 - 2018,2.18
,,2018 - 2019,1.99
,,2019 - 2020,2.16
,,2020 - 2021,2.09
,,2021 - 2022,2.0
,,2022 - 2023,2.02
,Munger,2000 - 2001,1.71
,,2001 - 2002,1.47
,,2002 - 2003,1.17
,,2003 - 2004,1.82
,,2004 - 2005,1.88
,,2005 - 2006,1.39
,,2006 - 2007,1.85
,,2007 - 2008,2.26
,,2008 - 2009,1.8
,,2009 - 2010,2.17
,,2010 - 2011,1.81
,,2011 - 2012,2.86
,,2012 - 2013,2.63
,,2013 - 2014,2.48
,,2014 - 2015,1.63
,,2015 - 2016,1.7
,,2016 - 2017,2.47
,,2017 - 2018,2.79
,,2018 - 2019,2.76
,,2019 - 2020,2.54
,,2020 - 2021,2.65
,,2021 - 2022,3.29
,,2022 - 2023,3.13
,Muzaffarpur,2000 - 2001,2.16
,,2001 - 2002,2.1
,,2002 - 2003,1.87
,,2003 - 2004,1.43
,,2004 - 2005,1.55
,,2005 - 2006,1.3
,,2006 - 2007,1.92
,,2007 - 2008,2.67
,,2008 - 2009,1.95
,,2009 - 2010,1.65
,,2010 - 2011,2.46
,,2011 - 2012,4.05
,,2012 - 2013,3.03
,,2013 - 2014,3.56
,,2014 - 2015,1.47
,,2015 - 2016,1.55
,,2016 - 2017,2.79
,,2017 - 2018,2.81
,,2018 - 2019,2.72
,,2019 - 2020,2.36
,,2020 - 2021,3.08
,,2021 - 2022,2.62
,,2022 - 2023,2.2
,Nalanda,2000 - 2001,2.01
,,2001 - 2002,1.87
,,2002 - 2003,1.89
,,2003 - 2004,1.48
,,2004 - 2005,0.82
,,2005 - 2006,1.58
,,2006 - 2007,1.91
,,2007 - 2008,2.03
,,2008 - 2009,1.62
,,2009 - 2010,1.55
,,2010 - 2011,2.09
,,2011 - 2012,2.83
,,2012 - 2013,2.77
,,2013 - 2014,2.8
,,2014 - 2015,2.07
,,2015 - 2016,2.5
,,2016 - 2017,3.15
,,2017 - 2018,3.15
,,2018 - 2019,3.54
,,2019 - 2020,2.53
,,2020 - 2021,3.16
,,2021 - 2022,3.16
,,2022 - 2023,3.44
,Nawada,2000 - 2001,1.67
,,2001 - 2002,1.8
,,2002 - 2003,2.01
,,2003 - 2004,1.91
,,2004 - 2005,0.93
,,2005 - 2006,1.27
,,2006 - 2007,2.15
,,2007 - 2008,2.54
,,2008 - 2009,2.17
,,2009 - 2010,1.83
,,2010 - 2011,2.03
,,2011 - 2012,2.59
,,2012 - 2013,2.49
,,2013 - 2014,2.44
,,2014 - 2015,1.79
,,2015 - 2016,2.02
,,2016 - 2017,2.79
,,2017 - 2018,3.07
,,2018 - 2019,2.77
,,2019 - 2020,1.98
,,2020 - 2021,2.61
,,2021 - 2022,2.57
,,2022 - 2023,3.0
,Pashchim champaran,2000 - 2001,2.96
,,2001 - 2002,2.53
,,2002 - 2003,2.13
,,2003 - 2004,1.79
,,2004 - 2005,2.22
,,2005 - 2006,1.06
,,2006 - 2007,1.91
,,2007 - 2008,2.47
,,2008 - 2009,2.86
,,2009 - 2010,2.1
,,2010 - 2011,2.68
,,2011 - 2012,3.24
,,2012 - 2013,2.56
,,2013 - 2014,2.87
,,2014 - 2015,1.22
,,2015 - 2016,2.39
,,2016 - 2017,2.22
,,2017 - 2018,2.29
,,2018 - 2019,2.75
,,2019 - 2020,2.88
,,2020 - 2021,3.02
,,2021 - 2022,4.9
,,2022 - 2023,3.03
,Patna,2000 - 2001,2.65
,,2001 - 2002,2.37
,,2002 - 2003,2.57
,,2003 - 2004,2.57
,,2004 - 2005,1.86
,,2005 - 2006,2.12
,,2006 - 2007,2.15
,,2007 - 2008,2.47
,,2008 - 2009,2.59
,,2009 - 2010,2.14
,,2010 - 2011,2.34
,,2011 - 2012,3.66
,,2012 - 2013,3.57
,,2013 - 2014,2.81
,,2014 - 2015,2.81
,,2015 - 2016,2.4
,,2016 - 2017,3.32
,,2017 - 2018,3.62
,,2018 - 2019,3.5
,,2019 - 2020,3.3
,,2020 - 2021,3.44
,,2021 - 2022,3.5
,,2022 - 2023,3.52
,Purbi champaran,2000 - 2001,2.25
,,2001 - 2002,2.04
,,2002 - 2003,1.76
,,2003 - 2004,1.57
,,2004 - 2005,2.13
,,2005 - 2006,1.07
,,2006 - 2007,2.02
,,2007 - 2008,2.79
,,2008 - 2009,1.46
,,2009 - 2010,0.59
,,2010 - 2011,3.03
,,2011 - 2012,3.24
,,2012 - 2013,2.64
,,2013 - 2014,2.73
,,2014 - 2015,0.68
,,2015 - 2016,1.1
,,2016 - 2017,2.42
,,2017 - 2018,2.44
,,2018 - 2019,2.54
,,2019 - 2020,2.11
,,2020 - 2021,2.56
,,2021 - 2022,2.84
,,2022 - 2023,2.46
,Purnia,2000 - 2001,1.8
,,2001 - 2002,1.56
,,2002 - 2003,1.49
,,2003 - 2004,1.22
,,2004 - 2005,1.15
,,2005 - 2006,0.85
,,2006 - 2007,1.34
,,2007 - 2008,1.59
,,2008 - 2009,1.61
,,2009 - 2010,2.11
,,2010 - 2011,1.96
,,2011 - 2012,2.62
,,2012 - 2013,2.69
,,2013 - 2014,2.65
,,2014 - 2015,0.6
,,2015 - 2016,3.48
,,2016 - 2017,2.43
,,2017 - 2018,2.46
,,2018 - 2019,3.25
,,2019 - 2020,2.47
,,2020 - 2021,3.25
,,2021 - 2022,2.8
,,2022 - 2023,3.08
,Rohtas,2000 - 2001,2.12
,,2001 - 2002,2.17
,,2002 - 2003,2.43
,,2003 - 2004,2.52
,,2004 - 2005,2.06
,,2005 - 2006,2.18
,,2006 - 2007,2.44
,,2007 - 2008,2.75
,,2008 - 2009,2.57
,,2009 - 2010,2.31
,,2010 - 2011,2.94
,,2011 - 2012,2.75
,,2012 - 2013,3.2
,,2013 - 2014,2.92
,,2014 - 2015,2.07
,,2015 - 2016,2.24
,,2016 - 2017,3.28
,,2017 - 2018,3.35
,,2018 - 2019,3.68
,,2019 - 2020,3.09
,,2020 - 2021,3.56
,,2021 - 2022,3.63
,,2022 - 2023,3.42
,Saharsa,2000 - 2001,2.75
,,2001 - 2002,1.89
,,2002 - 2003,1.88
,,2003 - 2004,1.81
,,2004 - 2005,1.63
,,2005 - 2006,0.69
,,2006 - 2007,1.92
,,2007 - 2008,1.98
,,2008 - 2009,1.72
,,2009 - 2010,2.05
,,2010 - 2011,2.3
,,2011 - 2012,3.07
,,2012 - 2013,2.45
,,2013 - 2014,2.74
,,2014 - 2015,2.21
,,2015 - 2016,2.08
,,2016 - 2017,2.67
,,2017 - 2018,2.85
,,2018 - 2019,2.56
,,2019 - 2020,1.99
,,2020 - 2021,2.39
,,2021 - 2022,2.38
,,2022 - 2023,2.05
,Samastipur,2000 - 2001,2.21
,,2001 - 2002,2.24
,,2002 - 2003,1.69
,,2003 - 2004,1.14
,,2004 - 2005,1.85
,,2005 - 2006,1.76
,,2006 - 2007,2.79
,,2007 - 2008,2.65
,,2008 - 2009,2.3
,,2009 - 2010,2.74
,,2010 - 2011,2.65
,,2011 - 2012,3.84
,,2012 - 2013,3.5
,,2013 - 2014,3.74
,,2014 - 2015,2.09
,,2015 - 2016,2.31
,,2016 - 2017,3.75
,,2017 - 2018,3.62
,,2018 - 2019,3.6
,,2019 - 2020,3.18
,,2020 - 2021,3.39
,,2021 - 2022,3.56
,,2022 - 2023,3.65
,Saran,2000 - 2001,2.4
,,2001 - 2002,2.36
,,2002 - 2003,1.92
,,2003 - 2004,2.21
,,2004 - 2005,2.13
,,2005 - 2006,1.71
,,2006 - 2007,2.34
,,2007 - 2008,2.54
,,2008 - 2009,2.47
,,2009 - 2010,2.32
,,2010 - 2011,2.78
,,2011 - 2012,3.31
,,2012 - 2013,2.86
,,2013 - 2014,3.14
,,2014 - 2015,2.02
,,2015 - 2016,2.1
,,2016 - 2017,3.48
,,2017 - 2018,3.14
,,2018 - 2019,2.85
,,2019 - 2020,3.14
,,2020 - 2021,3.61
,,2021 - 2022,3.42
,,2022 - 2023,3.62
,Sheikhpura,2000 - 2001,1.88
,,2001 - 2002,1.6
,,2002 - 2003,1.82
,,2003 - 2004,1.77
,,2004 - 2005,1.47
,,2005 - 2006,1.78
,,2006 - 2007,2.04
,,2007 - 2008,2.2
,,2008 - 2009,2.12
,,2009 - 2010,2.38
,,2010 - 2011,1.62
,,2011 - 2012,2.86
,,2012 - 2013,2.64
,,2013 - 2014,2.89
,,2014 - 2015,2.19
,,2015 - 2016,2.5
,,2016 - 2017,2.35
,,2017 - 2018,2.77
,,2018 - 2019,2.2
,,2019 - 2020,1.74
,,2020 - 2021,2.15
,,2021 - 2022,1.92
,,2022 - 2023,2.06
,Sheohar,2000 - 2001,1.86
,,2001 - 2002,2.33
,,2002 - 2003,1.75
,,2003 - 2004,1.74
,,2004 - 2005,1.51
,,2005 - 2006,0.38
,,2006 - 2007,1.36
,,2007 - 2008,1.62
,,2008 - 2009,2.12
,,2009 - 2010,2.67
,,2010 - 2011,2.73
,,2011 - 2012,3.51
,,2012 - 2013,3.03
,,2013 - 2014,3.68
,,2014 - 2015,1.38
,,2015 - 2016,1.74
,,2016 - 2017,2.43
,,2017 - 2018,3.08
,,2018 - 2019,3.08
,,2019 - 2020,2.31
,,2020 - 2021,2.57
,,2021 - 2022,2.61
,,2022 - 2023,3.27
,Sitamarhi,2000 - 2001,1.74
,,2001 - 2002,2.16
,,2002 - 2003,1.68
,,2003 - 2004,1.6
,,2004 - 2005,1.62
,,2005 - 2006,1.15
,,2006 - 2007,1.73
,,2007 - 2008,1.94
,,2008 - 2009,2.05
,,2009 - 2010,1.92
,,2010 - 2011,1.82
,,2011 - 2012,2.86
,,2012 - 2013,2.87
,,2013 - 2014,2.89
,,2014 - 2015,0.87
,,2015 - 2016,3.22
,,2016 - 2017,3.12
,,2017 - 2018,2.95
,,2018 - 2019,3.63
,,2019 - 2020,3.05
,,2020 - 2021,2.8
,,2021 - 2022,2.72
,,2022 - 2023,2.64
,Siwan,2000 - 2001,2.06
,,2001 - 2002,2.22
,,2002 - 2003,1.96
,,2003 - 2004,2.14
,,2004 - 2005,2.09
,,2005 - 2006,1.68
,,2006 - 2007,2.08
,,2007 - 2008,2.47
,,2008 - 2009,2.19
,,2009 - 2010,2.73
,,2010 - 2011,2.01
,,2011 - 2012,3.0
,,2012 - 2013,3.31
,,2013 - 2014,3.07
,,2014 - 2015,1.9
,,2015 - 2016,2.01
,,2016 - 2017,2.92
,,2017 - 2018,2.9
,,2018 - 2019,3.05
,,2019 - 2020,2.07
,,2020 - 2021,3.01
,,2021 - 2022,3.0
,,2022 - 2023,3.05
,Supaul,2000 - 2001,1.58
,,2001 - 2002,1.59
,,2002 - 2003,1.68
,,2003 - 2004,1.35
,,2004 - 2005,1.65
,,2005 - 2006,0.8
,,2006 - 2007,1.85
,,2007 - 2008,1.83
,,2008 - 2009,1.86
,,2009 - 2010,1.77
,,2010 - 2011,1.54
,,2011 - 2012,2.27
,,2012 - 2013,1.87
,,2013 - 2014,2.29
,,2014 - 2015,1.58
,,2015 - 2016,1.77
,,2016 - 2017,1.97
,,2017 - 2018,2.4
,,2018 - 2019,2.47
,,2019 - 2020,2.53
,,2020 - 2021,2.82
,,2021 - 2022,2.81
,,2022 - 2023,2.5
,Vaishali,2000 - 2001,2.52
,,2001 - 2002,2.28
,,2002 - 2003,2.12
,,2003 - 2004,0.89
,,2004 - 2005,2.16
,,2005 - 2006,1.53
,,2006 - 2007,2.51
,,2007 - 2008,2.68
,,2008 - 2009,2.96
,,2009 - 2010,2.4
,,2010 - 2011,3.32
,,2011 - 2012,3.85
,,2012 - 2013,2.78
,,2013 - 2014,3.37
,,2014 - 2015,2.09
,,2015 - 2016,1.85
,,2016 - 2017,3.33
,,2017 - 2018,3.26
,,2018 - 2019,2.77
,,2019 - 2020,2.86
,,2020 - 2021,3.38
,,2021 - 2022,3.1
,,2022 - 2023,3.11
Chandigarh,Chandigarh,2000 - 2001,4.5
,,2001 - 2002,4.47
,,2002 - 2003,4.74
,,2003 - 2004,4.62
,,2004 - 2005,4.0
,,2005 - 2006,4.58
,,2006 - 2007,4.67
,,2007 - 2008,4.67
,,2008 - 2009,4.5
,,2009 - 2010,4.5
,,2010 - 2011,4.53
,,2011 - 2012,4.54
,,2012 - 2013,4.5
,,2013 - 2014,4.52
,,2014 - 2015,4.55
,,2015 - 2016,4.6
,,2016 - 2017,4.7
,,2017 - 2018,4.7
,,2018 - 2019,5.0
,,2019 - 2020,4.5
,,2020 - 2021,5.0
,,2021 - 2022,5.0
,,2022 - 2023,5.0
Chhattisgarh,Balod,2011 - 2012,1.05
,,2012 - 2013,0.92
,,2013 - 2014,0.87
,,2014 - 2015,1.24
,,2015 - 2016,0.93
,,2016 - 2017,1.04
,,2017 - 2018,1.11
,,2018 - 2019,1.2
,,2019 - 2020,0.81
,,2020 - 2021,1.18
,,2021 - 2022,1.11
,,2022 - 2023,1.83
,Baloda bazar,2011 - 2012,1.7
,,2012 - 2013,1.88
,,2013 - 2014,1.77
,,2014 - 2015,2.17
,,2015 - 2016,1.71
,,2016 - 2017,2.2
,,2017 - 2018,1.56
,,2018 - 2019,1.86
,,2019 - 2020,1.64
,,2020 - 2021,1.74
,,2021 - 2022,1.26
,,2022 - 2023,1.75
,Balrampur,2011 - 2012,1.24
,,2012 - 2013,2.06
,,2013 - 2014,1.62
,,2014 - 2015,1.45
,,2015 - 2016,1.54
,,2016 - 2017,1.81
,,2017 - 2018,1.85
,,2018 - 2019,1.99
,,2019 - 2020,1.42
,,2020 - 2021,1.79
,,2021 - 2022,1.32
,,2022 - 2023,1.44
,Bastar,2000 - 2001,1.94
,,2001 - 2002,1.07
,,2002 - 2003,1.92
,,2003 - 2004,1.59
,,2004 - 2005,1.54
,,2005 - 2006,1.67
,,2006 - 2007,1.92
,,2007 - 2008,2.1
,,2008 - 2009,1.95
,,2009 - 2010,2.02
,,2010 - 2011,2.11
,,2011 - 2012,1.97
,,2012 - 2013,2.2
,,2013 - 2014,2.13
,,2014 - 2015,2.34
,,2015 - 2016,2.48
,,2016 - 2017,2.48
,,2017 - 2018,1.95
,,2018 - 2019,2.32
,,2019 - 2020,1.71
,,2020 - 2021,2.2
,,2021 - 2022,1.63
,,2022 - 2023,1.77
,Bemetara,2011 - 2012,1.09
,,2012 - 2013,1.0
,,2013 - 2014,0.96
,,2014 - 2015,0.99
,,2015 - 2016,0.98
,,2016 - 2017,1.22
,,2017 - 2018,1.09
,,2018 - 2019,1.19
,,2019 - 2020,0.84
,,2020 - 2021,1.46
,,2021 - 2022,1.31
,,2022 - 2023,1.66
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,1.5
,,2018 - 2019,1.0
,,2020 - 2021,2.0
,Bilaspur,2000 - 2001,0.94
,,2001 - 2002,1.06
,,2002 - 2003,1.05
,,2003 - 2004,1.06
,,2004 - 2005,0.84
,,2005 - 2006,0.9
,,2006 - 2007,1.01
,,2007 - 2008,1.1
,,2008 - 2009,1.03
,,2009 - 2010,1.15
,,2010 - 2011,1.31
,,2011 - 2012,1.43
,,2012 - 2013,1.51
,,2013 - 2014,1.45
,,2014 - 2015,1.6
,,2015 - 2016,1.49
,,2016 - 2017,1.61
,,2017 - 2018,1.47
,,2018 - 2019,1.76
,,2019 - 2020,1.27
,,2020 - 2021,1.56
,,2021 - 2022,1.21
,,2022 - 2023,1.65
,Dantewada,2000 - 2001,1.29
,,2001 - 2002,1.38
,,2002 - 2003,1.32
,,2003 - 2004,1.53
,,2004 - 2005,0.75
,,2005 - 2006,1.25
,,2006 - 2007,2.07
,,2007 - 2008,1.5
,,2008 - 2009,1.67
,,2009 - 2010,1.33
,,2010 - 2011,1.4
,,2011 - 2012,2.0
,,2012 - 2013,2.2
,,2013 - 2014,2.33
,,2014 - 2015,2.4
,,2015 - 2016,1.6
